Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
35,Marc-André Fleury,32,PIT,G,38,34,18,10,7,107,1181,1074,.909,3.02,1,2125:15,16,.471,5,105,-4.8,3.50,6.4,0,0,0,6,,fleurma01
36,Antti Niemi,33,DAL,G,37,30,12,12,4,95,880,785,.892,3.30,0,1728:30,14,.467,7,125,-18.8,3.82,3.0,0,0,0,0,,niemian02
37,Chad Johnson,30,CGY,G,36,36,18,15,1,87,969,882,.910,2.59,3,2013:12,18,.500,7,104,-3.1,3.01,5.4,0,0,0,0,,johnsch02
38,Scott Darling,28,CHI,G,32,27,18,5,5,67,877,810,.924,2.38,2,1688:35,17,.630,1,88,8.9,2.74,6.2,0,0,0,0,,darlisc01
39,Louis Domingue,24,ARI,G,31,26,11,15,1,82,888,806,.908,3.08,0,1598:41,12,.462,4,107,-5.2,3.57,4.6,0,0,0,0,,dominlo01
40,Carter Hutton,31,STL,G,30,21,13,8,2,58,663,605,.913,2.39,4,1459:03,11,.524,3,101,-0.6,2.76,3.8,0,1,1,4,,huttoca01
41,Antti Raanta,27,NYR,G,30,26,16,8,2,61,782,721,.922,2.26,4,1617:20,18,.692,1,90,6.7,2.60,5.4,0,1,1,0,,raantan01
42,Jaroslav Halák,31,NYI,G,28,26,12,9,5,75,885,810,.915,2.80,2,1605:29,14,.538,3,98,1.6,3.25,5.4,0,1,1,0,,halakja01
43,Michael Hutchinson,26,WPG,G,28,20,9,12,3,67,690,623,.903,2.92,1,1378:20,8,.400,1,112,-7.3,3.40,3.2,0,0,0,0,,hutchmi01
44,Michal Neuvirth,28,PHI,G,28,24,11,11,1,64,586,522,.891,2.82,0,1363:38,10,.417,4,126,-13.3,3.26,1.9,0,0,0,2,,neuvimi01
45,Jimmy Howard,32,DET,G,26,24,10,11,1,49,675,626,.927,2.10,1,1396:43,16,.667,4,84,9.4,2.45,5.1,0,0,0,2,,howarja02
46,Keith Kinkaid,27,NJD,G,26,23,8,13,3,65,778,713,.916,2.64,1,1476:05,12,.522,4,97,2.3,3.05,4.9,0,1,1,0,,kinkake01
47,Jacob Markström,27,VAN,G,26,23,10,11,3,62,692,630,.910,2.63,0,1416:58,12,.522,2,104,-2.1,3.05,3.8,0,0,0,2,,marksja02
48,Anders Nilsson,26,BUF,G,26,23,10,10,4,66,857,791,.923,2.67,1,1484:15,11,.478,2,89,8.2,3.07,6.0,0,0,0,0,,nilssan01
49,Philipp Grubauer,25,WSH,G,24,19,13,6,2,43,585,542,.926,2.04,3,1264:34,13,.684,1,85,7.6,2.37,4.4,0,0,0,0,,grubaph01
50,Semyon Varlamov,28,COL,G,24,23,6,17,0,76,745,669,.898,3.38,1,1347:47,11,.478,5,118,-11.5,3.92,3.1,0,1,1,0,,varlasi01
51,Juuse Saros,21,NSH,G,21,19,10,8,3,47,614,567,.923,2.35,1,1199:55,13,.684,1,88,6.1,2.70,4.4,0,1,1,0,,sarosju01
52,Curtis McElhinney,33,2TM,G,21,15,8,8,2,51,616,565,.917,2.70,1,1134:39,9,.600,0,96,2.3,3.12,3.9,0,0,0,0,,mcelhcu01
52,Curtis McElhinney,33,CBJ,G,7,5,2,1,2,15,198,183,.924,2.39,0,375:55,3,.600,0,88,2.1,2.71,1.4,0,0,0,0,,mcelhcu01
52,Curtis McElhinney,33,TOR,G,14,10,6,7,0,36,418,382,.914,2.85,1,758:44,6,.600,0,100,0.2,3.32,2.5,0,0,0,0,,mcelhcu01
53,Aaron Dell,27,SJS,G,20,17,11,6,1,37,533,496,.931,2.00,1,1110:33,12,.706,1,80,9.1,2.32,4.2,0,0,0,0,,dellaa01
54,Eddie Läck,29,CAR,G,20,18,8,7,3,48,492,444,.902,2.64,1,1089:51,9,.500,3,113,-5.4,3.08,2.3,0,0,0,0,,lacked01
55,Al Montoya,31,MTL,G,19,18,8,6,4,50,569,519,.912,2.67,2,1124:53,12,.667,2,102,-0.8,3.09,3.3,0,2,2,2,,montoal01
56,Darcy Kuemper,26,MIN,G,18,17,8,5,3,55,562,507,.902,3.13,0,1053:02,5,.294,3,113,-6.4,3.65,2.6,0,1,1,4,,kuempda01
57,Jonathan Quick,31,LAK,G,17,17,8,5,2,35,421,386,.917,2.26,2,930:57,11,.647,2,96,1.4,2.58,2.7,0,0,0,2,,quickjo01
58,Anton Khudobin,30,BOS,G,16,14,7,6,1,39,405,366,.904,2.64,0,884:47,5,.357,2,111,-4.0,3.05,1.9,0,1,1,2,,khudoan01
59,Jean-François Bérubé,25,NYI,G,14,7,3,2,2,30,271,241,.889,3.42,0,526:49,3,.429,2,128,-6.5,3.99,0.8,0,0,0,0,,berubje02
60,Jared Coreau,25,DET,G,14,14,5,4,3,41,362,321,.887,3.46,2,711:40,5,.357,6,131,-9.7,3.96,1.0,0,0,0,0,,coreaja01
61,Joonas Korpisalo,22,CBJ,G,14,13,7,5,1,38,401,363,.905,2.88,1,790:31,6,.462,2,110,-3.3,3.34,2.0,0,0,0,0,,korpijo01
62,Jeff Zatkoff,29,LAK,G,13,8,2,7,1,27,223,196,.879,2.94,0,550:24,2,.250,4,140,-7.7,3.38,0.4,0,0,0,0,,zatkoje01
63,Jeremy Smith,27,COL,G,10,8,1,6,1,32,286,254,.888,3.54,0,542:43,3,.375,3,129,-7.2,4.09,0.8,0,0,0,0,,smithje02
64,Laurent Brossoit,23,EDM,G,8,4,4,1,0,11,153,142,.928,1.99,0,332:27,2,.500,0,83,2.2,2.35,1.2,0,0,0,0,,brossla01
65,Zane McIntyre,24,BOS,G,8,3,0,4,1,22,155,133,.858,3.97,0,332:37,0,.000,1,164,-8.6,4.51,-0.1,0,0,0,0,,mcintza01
66,Ondřej Pavelec,29,WPG,G,8,8,4,4,0,26,233,207,.888,3.55,0,439:30,2,.250,2,129,-5.8,4.10,0.7,0,0,0,0,,pavelon01
67,Reto Berra,30,FLA,G,7,4,0,5,0,18,145,127,.876,3.45,0,313:07,0,.000,2,143,-5.5,4.02,0.2,0,0,0,0,,berrare01
68,Jonas Gustavsson,32,EDM,G,7,5,1,3,1,17,139,122,.878,3.10,0,328:58,2,.400,3,141,-5.0,3.65,0.2,0,0,0,0,,gustajo01
69,Anthony Stolarz,23,PHI,G,7,4,2,1,1,13,181,168,.928,2.07,1,376:05,2,.500,1,83,2.7,2.39,1.4,0,0,0,0,,stolaan01
70,Jhonas Enroth,28,TOR,G,6,4,0,3,1,18,141,123,.872,3.94,0,274:26,0,.000,0,148,-5.8,4.59,0.2,0,0,0,0,,enrotjh01
71,Andrew Hammond,28,OTT,G,6,4,0,2,0,14,86,72,.837,4.08,0,205:39,1,.250,3,188,-6.6,4.67,-0.3,0,0,0,0,,hammoan01
72,Richard Bachman,29,VAN,G,5,5,2,3,0,13,162,149,.920,2.64,0,295:11,2,.400,0,93,1.0,3.05,1.1,0,0,0,0,,bachmri01
73,Michael Leighton,35,CAR,G,4,3,2,2,0,12,92,80,.870,3.42,0,210:17,1,.333,1,151,-4.0,3.99,0.1,0,1,1,0,,leighmi01
74,Marek Mazanec,25,NSH,G,4,2,0,2,0,14,87,73,.839,4.73,0,177:35,0,.000,2,186,-6.5,5.41,-0.2,0,1,1,0,,mazanma01
75,Spencer Martin,21,COL,G,3,3,0,2,1,13,96,83,.865,4.35,0,179:26,0,.000,1,156,-4.7,5.02,0.0,0,0,0,0,,martisp01
76,Justin Peters,30,ARI,G,3,1,0,1,0,7,70,63,.900,3.16,0,132:55,0,.000,0,116,-0.9,3.61,0.3,0,0,0,0,,peterju01
77,Antoine Bibeau,22,TOR,G,2,2,1,1,0,4,55,51,.927,1.99,0,120:39,2,1.000,0,84,0.8,2.49,0.4,0,0,0,0,,bibeaan01
78,Magnus Hellberg,25,NYR,G,2,1,1,0,0,2,28,26,.929,1.53,0,78:31,1,1.000,0,83,0.4,1.53,0.2,0,0,0,0,,hellbma01
79,Charlie Lindgren,23,MTL,G,2,2,2,0,0,3,59,56,.949,1.48,0,121:42,2,1.000,0,59,2.1,1.48,0.6,0,0,0,0,,lindgch01
80,Alex Stalock,29,MIN,G,2,2,1,1,0,3,54,51,.944,1.51,0,118:55,2,1.000,0,64,1.7,1.51,0.5,0,0,0,0,,staloal01
81,Jorge Alves,38,CAR,G,1,0,0,0,0,0,0,0,,.00,0,0:08,0,,0,,0.0,.00,0.0,0,0,0,0,,alvesjo01
82,Jack Campbell,25,LAK,G,1,0,0,0,0,0,5,5,1.000,.00,0,20:00,0,,0,0,0.4,.00,0.1,0,0,0,0,,campbja01
83,Eric Comrie,21,WPG,G,1,1,1,0,0,4,39,35,.897,4.05,0,59:18,0,.000,0,119,-0.6,5.06,0.2,0,0,0,0,,comrier01
84,Pheonix Copley,25,STL,G,1,1,0,1,0,5,29,24,.828,5.09,0,58:56,0,.000,1,199,-2.5,6.11,-0.1,0,0,0,0,,copleph01
85,Chris Driedger,22,OTT,G,1,0,0,1,0,4,15,11,.733,6.00,0,40:00,0,,0,308,-2.7,7.50,-0.2,0,0,0,0,,driedch01
86,Anton Forsberg,24,CBJ,G,1,1,0,1,0,4,27,23,.852,4.10,0,58:35,0,.000,0,171,-1.7,5.12,0.0,0,0,0,0,,forsban01
87,Jon Gillies,23,CGY,G,1,1,1,0,0,1,28,27,.964,1.00,0,60:00,1,1.000,0,41,1.4,1.00,0.3,0,0,0,0,,gillijo01
88,Kristers Gudlevskis,24,TBL,G,1,0,0,0,0,0,3,3,1.000,.00,0,11:27,0,,0,0,0.3,.00,0.0,0,0,0,0,,gudlekr01
89,Tristan Jarry,21,PIT,G,1,1,0,1,0,3,25,22,.880,3.06,0,58:45,0,.000,0,139,-0.8,3.06,0.0,0,0,0,0,,jarrytr01
90,Marek Langhamer,22,ARI,G,1,0,0,0,0,1,8,7,.875,3.87,0,15:31,0,,0,144,-0.3,3.87,0.0,0,0,0,0,,langhma01
91,Alex Nedeljkovic,21,CAR,G,1,0,0,0,0,0,17,17,1.000,.00,0,29:57,0,,0,0,1.5,.00,0.3,0,0,0,2,,nedelal01
92,David Rittich,24,CGY,G,1,0,0,0,0,1,10,9,.900,3.00,0,20:00,0,,0,116,-0.1,3.00,0.0,0,0,0,0,,rittida01
93,Malcolm Subban,23,BOS,G,1,1,0,1,0,3,16,13,.813,5.88,0,30:36,0,.000,1,217,-1.6,5.88,-0.1,0,0,0,0,,subbama01
94,Dustin Tokarski,27,ANA,G,1,0,0,0,0,0,5,5,1.000,.00,0,9:47,0,,0,0,0.4,.00,0.1,0,0,0,0,,tokardu01
95,Linus Ullmark,23,BUF,G,1,1,0,1,0,3,36,33,.917,3.06,0,58:44,1,1.000,0,96,0.1,3.06,0.2,0,0,0,0,,ullmali01
,League Average,,,,,,,,,,,,.913,2.59,,,,.534,,,,3.00,,,,,,,-9999
