Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
1,Cam Talbot,29,EDM,G,73,73,42,22,8,171,2117,1946,.919,2.39,7,4294:00,43,.589,10,93,12.2,2.75,14.0,0,0,0,4,ASnhl-3Hart-17Vezina-4,talboca01
2,Frederik Andersen,27,TOR,G,66,66,33,16,14,169,2052,1883,.918,2.67,4,3799:20,38,.576,11,95,8.6,3.10,13.1,0,1,1,16,,anderfr01
3,Devan Dubnyk,30,MIN,G,65,63,40,19,5,141,1842,1701,.923,2.25,5,3758:00,39,.619,7,88,18.4,2.60,13.1,0,0,0,10,ASGASnhl-4Hart-15Vezina-5,dubnyde01
4,Martin Jones,27,SJS,G,65,65,35,23,6,152,1725,1573,.912,2.40,2,3800:21,39,.600,8,102,-2.7,2.76,9.9,0,0,0,0,ASGVezina-6,jonesma02
5,Tuukka Rask,29,BOS,G,65,64,37,20,5,137,1610,1473,.915,2.23,8,3679:30,31,.484,14,98,2.3,2.58,9.8,0,2,2,0,ASGASnhl-7,rasktu01
6,Sergei Bobrovsky,28,CBJ,G,63,63,41,17,5,127,1854,1727,.931,2.06,7,3707:04,41,.651,5,79,33.4,2.36,14.9,0,0,0,8,ASGASnhl-1Byng-60Hart-3Vezina-1,bobrose01
7,Braden Holtby,27,WSH,G,63,63,42,13,6,127,1690,1563,.925,2.07,9,3680:10,39,.619,8,87,19.3,2.38,12.3,0,0,0,0,ASGASnhl-2Hart-10Jennings-1Vezina-2,holtbbr01
8,Carey Price,29,MTL,G,62,62,37,20,5,138,1794,1656,.923,2.23,3,3708:08,38,.613,8,89,17.3,2.57,12.6,0,1,1,4,ASGASnhl-5Vezina-3,priceca01
9,Jake Allen,26,STL,G,61,60,33,20,5,138,1620,1482,.915,2.42,4,3418:19,33,.550,11,98,2.2,2.79,9.8,0,1,1,4,,allenja01
10,Pekka Rinne,34,NSH,G,61,61,31,19,9,144,1757,1613,.918,2.42,3,3567:47,34,.557,7,95,8.1,2.79,11.3,0,0,0,4,,rinnepe01
11,Cam Ward,32,CAR,G,61,61,26,22,12,162,1711,1549,.905,2.69,2,3617:55,30,.492,9,109,-13.9,3.12,8.5,0,1,1,6,,wardca01
12,Cory Schneider,30,NJD,G,60,59,20,27,11,163,1781,1618,.908,2.82,2,3472:50,27,.458,7,106,-8.9,3.27,9.5,0,0,0,0,,schneco01
13,Peter Budaj,34,2TM,G,60,55,30,21,3,120,1414,1294,.915,2.18,7,3308:16,32,.582,7,98,2.4,2.50,8.6,0,1,1,0,,budajpe01
13,Peter Budaj,34,LAK,G,53,51,27,20,3,107,1286,1179,.917,2.12,7,3029:24,31,.608,7,96,4.3,2.44,8.1,0,1,1,0,,budajpe01
13,Peter Budaj,34,TBL,G,7,4,3,1,0,13,128,115,.898,2.80,0,278:52,1,.250,0,117,-1.9,3.23,0.5,0,0,0,0,,budajpe01
14,Robin Lehner,25,BUF,G,59,58,23,26,8,152,1910,1758,.920,2.68,2,3405:28,32,.552,6,92,13.3,3.10,12.9,0,1,1,6,,lehnero01
15,Kari Lehtonen,33,DAL,G,59,52,22,25,7,151,1546,1395,.902,2.85,3,3177:09,27,.519,12,113,-17.2,3.30,7.1,0,1,1,4,,lehtoka01
16,Steve Mason,28,PHI,G,58,54,26,21,8,143,1556,1413,.908,2.66,3,3224:37,26,.481,11,106,-8.3,3.07,8.2,0,1,1,0,,masonst01
17,Henrik Lundqvist,34,NYR,G,57,55,31,20,4,148,1650,1502,.910,2.74,2,3240:26,32,.582,8,104,-5.2,3.17,9.1,0,1,1,0,,lundqhe01
18,Connor Hellebuyck,23,WPG,G,56,53,26,19,4,146,1572,1426,.907,2.89,4,3033:31,25,.472,9,107,-10.0,3.34,8.1,0,0,0,0,,helleco01
19,Corey Crawford,32,CHI,G,55,55,32,18,4,138,1691,1553,.918,2.55,2,3246:52,29,.527,7,94,8.3,2.96,11.0,0,1,1,2,ASG,crawfco01
20,Mike Smith,34,ARI,G,55,55,19,26,9,156,1819,1663,.914,2.92,3,3202:08,27,.491,7,99,1.4,3.39,10.9,0,0,0,14,ASG,smithmi01
21,Ryan Miller,36,VAN,G,54,54,18,29,6,150,1737,1587,.914,2.80,3,3211:51,26,.481,7,100,0.3,3.25,10.3,0,1,1,22,,millery01
22,John Gibson,23,ANA,G,52,49,25,16,9,109,1437,1328,.924,2.22,6,2950:21,28,.571,7,88,15.4,2.56,10.3,0,1,1,4,ASnhl-6,gibsojo02
23,Thomas Greiss,31,NYI,G,51,49,26,18,5,126,1453,1327,.913,2.69,3,2813:17,30,.612,11,100,-0.3,3.11,8.6,0,1,1,0,,greisth01
24,Petr Mrázek,24,DET,G,50,44,18,21,9,145,1462,1317,.901,3.04,1,2857:31,19,.432,9,115,-18.5,3.53,6.5,0,0,0,2,,mrazepe01
25,Calvin Pickard,24,COL,G,50,48,15,31,2,140,1461,1321,.904,2.98,2,2820:16,21,.438,11,111,-13.6,3.45,7.1,0,2,2,2,,pickaca01
26,Andrei Vasilevskiy,22,TBL,G,50,47,23,17,7,123,1480,1357,.917,2.61,2,2831:16,25,.532,5,96,5.1,3.01,9.3,0,2,2,2,,vasilan02
27,Brian Elliott,31,CGY,G,49,45,26,18,3,121,1338,1217,.910,2.55,2,2844:25,26,.578,4,104,-5.2,2.95,7.3,0,0,0,4,,elliobr01
28,Matt Murray,22,PIT,G,49,47,32,10,4,111,1450,1339,.923,2.41,4,2765:48,26,.553,4,88,14.5,2.78,10.3,0,2,2,0,AR-1Calder-4,murrama02
29,James Reimer,28,FLA,G,43,39,18,16,5,98,1222,1124,.920,2.53,3,2324:35,19,.487,4,93,7.8,2.92,8.1,0,0,0,2,,reimeja01
30,Mike Condon,26,2TM,G,41,38,19,14,6,96,1122,1026,.914,2.48,5,2324:25,19,.500,7,99,1.1,2.87,6.8,0,0,0,4,,condomi01
30,Mike Condon,26,PIT,G,1,0,0,0,0,0,7,7,1.000,.00,0,20:00,0,,0,0,0.6,.00,0.1,0,0,0,0,,condomi01
30,Mike Condon,26,OTT,G,40,38,19,14,6,96,1115,1019,.914,2.50,5,2304:25,19,.500,7,99,0.5,2.89,6.7,0,0,0,4,,condomi01
31,Craig Anderson,35,OTT,G,40,40,25,11,4,92,1247,1155,.926,2.28,5,2421:14,25,.625,4,85,15.9,2.63,9.2,0,1,1,0,ASnhl-7,andercr01
32,Roberto Luongo,37,FLA,G,40,39,17,15,6,104,1217,1113,.915,2.68,1,2326:34,21,.538,1,99,1.3,3.09,7.4,0,1,1,4,,luongro01
33,Jonathan Bernier,28,ANA,G,39,33,21,7,4,83,982,899,.915,2.50,2,1993:11,19,.576,4,98,2.0,2.89,6.0,0,0,0,4,,bernijo01
34,Ben Bishop,30,2TM,G,39,37,18,15,5,94,1040,946,.910,2.54,1,2222:37,19,.514,6,104,-4.0,2.94,5.7,0,0,0,10,,bishobe01
34,Ben Bishop,30,TBL,G,32,31,16,12,3,77,870,793,.911,2.55,1,1812:36,16,.516,4,102,-1.7,2.95,4.9,0,0,0,8,,bishobe01
34,Ben Bishop,30,LAK,G,7,6,2,3,2,17,170,153,.900,2.49,0,410:01,3,.500,2,116,-2.3,2.93,0.7,0,0,0,2,,bishobe01
