Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
1,Karel Vejmelka,29,UTA,G,64,63,38,20,3,169,1625,1456,.896,2.75,2,3692:45,33,.524,14,100,0.8,2.86,10.4,0,2,2,2,ASnhl-6,vejmeka01
2,Juuse Saros,30,NSH,G,59,59,28,22,8,181,1701,1520,.894,3.16,0,3432:33,28,.475,8,102,-3.3,3.30,10.5,0,0,0,2,,sarosju01
3,Logan Thompson,28,WSH,G,58,58,31,21,6,140,1587,1447,.912,2.44,4,3445:03,39,.672,8,84,25.8,2.53,12.8,0,1,1,0,ASnhl-2Byng-79Hart-23Vezina-4,thomplo01
4,Andrei Vasilevskiy,31,TBL,G,58,58,39,15,4,132,1482,1350,.911,2.31,2,3430:45,42,.724,6,85,22.9,2.40,11.8,0,2,2,11,ASnhl-1Hart-10Vezina-1,vasilan02
5,John Gibson,32,DET,G,57,57,29,22,4,144,1461,1317,.901,2.72,4,3181:14,29,.509,10,94,8.7,2.83,10.2,0,1,1,4,,gibsojo02
6,Connor Hellebuyck,32,WPG,G,57,57,23,23,11,162,1547,1385,.895,2.86,0,3401:27,32,.561,8,100,-0.3,2.98,9.8,0,0,0,4,,helleco01
7,Dustin Wolf,24,CGY,G,57,55,23,29,3,158,1558,1400,.899,3.01,2,3149:14,28,.509,12,97,4.8,3.14,10.4,0,0,0,4,,wolfdu01
8,Lukáš Dostál,25,ANA,G,56,55,30,20,4,169,1513,1344,.888,3.10,0,3267:56,28,.509,13,107,-10.9,3.23,8.5,0,1,1,8,Byng-58,dostalu01
9,Jet Greaves,24,CBJ,G,55,53,26,19,9,142,1537,1395,.908,2.60,2,3276:06,35,.660,8,88,18.6,2.71,11.7,0,1,1,0,,greavje01
10,Spencer Knight,24,CHI,G,55,55,19,25,11,155,1583,1428,.902,2.82,3,3293:15,28,.509,9,94,10.4,2.93,11.1,0,1,1,0,,knighsp01
11,Ilya Sorokin,30,NYI,G,55,54,29,24,2,144,1530,1386,.906,2.68,7,3226:10,28,.519,9,90,15.9,2.79,11.4,0,1,1,4,ASnhl-3Hart-23Vezina-2,sorokil01
12,Jeremy Swayman,27,BOS,G,55,54,31,18,4,146,1571,1425,.907,2.71,2,3235:17,38,.704,10,89,18.2,2.82,11.9,0,0,0,11,ASnhl-5Hart-18Vezina-3,swaymje01
13,Jake Oettinger,27,DAL,G,54,54,35,12,6,138,1372,1234,.899,2.59,4,3194:11,31,.574,10,96,5.4,2.70,9.3,0,1,1,0,ASnhl-8Byng-79Vezina-8,oettija01
14,Sergei Bobrovsky,37,FLA,G,52,51,27,23,1,154,1250,1096,.877,3.07,4,3009:39,27,.529,15,118,-23.4,3.21,5.5,0,2,2,9,,bobrose01
15,Daniel Vladař,28,PHI,G,52,51,29,14,7,121,1283,1162,.906,2.42,0,2995:13,37,.725,10,90,13.1,2.52,9.5,0,0,0,4,ASnhl-7Hart-18Vezina-6,vladada01
16,Igor Shesterkin,30,NYR,G,51,51,25,19,6,126,1425,1299,.912,2.50,1,3024:13,33,.647,8,85,22.9,2.60,11.4,0,0,0,11,ASnhl-9Vezina-7,shestig01
17,Filip Gustavsson,27,MIN,G,50,49,28,15,6,133,1376,1243,.903,2.69,4,2967:55,30,.612,9,93,10.8,2.79,9.9,0,2,2,0,Byng-79,gustafi01
18,Darcy Kuemper,35,LAK,G,50,50,19,14,15,134,1234,1100,.891,2.78,3,2887:54,25,.500,12,104,-5.1,2.91,7.3,0,1,1,6,,kuempda01
19,Stuart Skinner,27,2TM,G,50,50,23,17,9,142,1267,1125,.888,2.92,2,2921:57,25,.500,12,107,-9.6,3.04,7.0,0,1,1,0,,skinnst01
19,Stuart Skinner,27,EDM,G,23,23,11,8,4,62,570,508,.891,2.83,2,1316:39,10,.435,4,104,-2.4,2.96,3.4,0,0,0,0,,skinnst01
19,Stuart Skinner,27,PIT,G,27,27,12,9,5,80,697,617,.885,2.99,0,1605:18,15,.556,8,110,-7.2,3.10,3.7,0,1,1,0,,skinnst01
20,Linus Ullmark,32,OTT,G,49,49,28,12,8,131,1198,1067,.891,2.73,3,2883:28,28,.571,10,105,-5.8,2.83,7.0,0,1,1,2,Byng-64,ullmali01
21,Yaroslav Askarov,23,SJS,G,47,47,21,20,4,157,1341,1184,.883,3.63,0,2596:29,20,.426,17,112,-16.9,3.79,6.8,0,0,0,2,,askarya01
22,Joey Daccord,29,SEA,G,47,46,20,20,6,136,1307,1171,.896,3.03,2,2693:13,24,.522,12,100,0.6,3.16,8.4,0,3,3,4,,daccojo01
23,Kevin Lankinen,30,VAN,G,47,43,11,27,5,160,1286,1126,.876,3.70,0,2592:21,18,.419,17,119,-25.6,3.89,5.5,0,2,2,4,,lankike01
24,Joel Hofer,25,STL,G,46,43,24,13,5,114,1250,1136,.909,2.61,6,2624:39,26,.605,8,87,16.6,2.72,9.7,0,0,0,4,,hoferjo01
25,Scott Wedgewood,33,COL,G,45,43,31,6,6,86,1094,1008,.921,2.02,4,2549:04,32,.744,7,75,28.3,2.09,9.9,0,1,1,2,ASnhl-4Byng-79Hart-17Jennings-1Vezina-5,wedgesc01
26,Jacob Markström,36,NJD,G,44,43,23,19,1,130,1113,983,.883,3.07,1,2544:01,17,.395,13,112,-13.7,3.21,5.6,0,4,4,13,,marksja02
27,Jakub Dobes,24,MTL,G,43,42,29,10,4,117,1187,1070,.901,2.78,0,2525:35,27,.643,9,94,7.0,2.90,8.3,0,0,0,2,AR-1Calder-4,dobesja01
