Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
28,Jordan Binnington,32,STL,G,41,39,13,20,7,128,1010,882,.873,3.33,1,2307:48,17,.436,18,121,-22.5,3.48,4.1,0,2,2,4,,binnijo01
29,Alex Nedeljkovic,30,SJS,G,40,34,18,14,4,109,1049,940,.896,2.87,0,2277:58,21,.618,7,99,0.6,3.00,6.7,0,1,1,9,,nedelal01
30,Mackenzie Blackwood,29,COL,G,39,36,23,10,2,90,933,843,.904,2.51,3,2155:41,25,.694,5,92,7.5,2.62,6.7,0,0,0,0,ASnhl-11Jennings-1,blackma01
31,Brandon Bussi,27,CAR,G,39,39,31,6,2,97,911,814,.894,2.47,2,2360:49,21,.538,10,102,-1.8,2.57,5.6,0,1,1,2,ASnhl-10,bussibr01
32,Arturs Silovs,24,PIT,G,39,38,19,12,8,115,1021,906,.887,3.07,2,2246:33,18,.474,12,108,-8.3,3.20,5.6,0,3,3,4,,silovar01
33,Joseph Woll,27,TOR,G,39,38,15,16,7,124,1220,1096,.898,3.34,2,2230:04,24,.632,11,97,3.5,3.50,8.1,0,1,1,2,,wolljo01
34,Jake Allen,35,NJD,G,37,36,17,17,2,100,1031,931,.903,2.74,1,2186:34,21,.583,6,93,7.7,2.85,7.4,0,1,1,0,,allenja01
35,Anton Forsberg,33,LAK,G,36,31,16,12,5,87,952,865,.909,2.57,3,2032:06,21,.677,5,87,12.5,2.69,7.3,0,0,0,4,,forsban01
36,Alex Lyon,33,BUF,G,36,34,20,10,4,92,978,886,.906,2.77,3,1992:01,23,.676,6,90,10.2,2.89,7.3,0,1,1,4,,lyonal01
37,Frederik Andersen,36,CAR,G,35,35,16,14,5,107,849,742,.874,3.05,0,2101:52,11,.314,12,121,-18.3,3.20,3.5,0,1,1,4,,anderfr01
38,Ukko-Pekka Luukkonen,26,BUF,G,35,34,22,9,3,85,929,844,.909,2.52,1,2027:46,21,.618,5,88,12.1,2.60,7.2,0,1,1,4,,luukkuk01
39,Jesper Wallstedt,23,MIN,G,35,33,18,9,6,87,1020,933,.915,2.61,4,1996:39,23,.697,4,82,19.6,2.73,8.5,0,1,1,2,ASnhl-12AR-2Calder-6,wallsje01
40,Akira Schmid,25,VEG,G,34,29,16,10,6,85,791,706,.893,2.59,2,1965:47,11,.379,7,103,-2.3,2.69,4.8,0,1,1,0,,schmiak01
41,Cam Talbot,38,DET,G,34,25,12,9,6,93,797,704,.883,3.19,0,1750:11,12,.480,8,112,-9.7,3.33,4.1,0,1,1,0,,talboca01
42,Samuel Ersson,26,PHI,G,33,29,14,11,5,97,744,647,.870,3.12,0,1866:35,12,.414,10,125,-19.3,3.25,2.7,0,1,1,2,,erssosa01
43,Daniil Tarasov,26,FLA,G,33,31,13,15,3,97,925,828,.895,3.05,0,1905:40,17,.548,5,100,-0.3,3.18,5.8,0,0,0,0,,tarasda02
44,Tristan Jarry,30,2TM,G,33,29,18,9,3,98,830,732,.882,3.32,2,1773:37,14,.483,9,113,-11.3,3.48,4.1,0,1,1,0,,jarrytr01
44,Tristan Jarry,30,PIT,G,14,13,9,3,1,36,396,360,.909,2.66,1,810:45,9,.692,2,87,5.4,2.81,3.1,0,0,0,0,,jarrytr01
44,Tristan Jarry,30,EDM,G,19,16,9,6,2,62,434,372,.857,3.86,1,962:52,5,.313,7,137,-16.6,4.05,1.0,0,1,1,0,,jarrytr01
45,Philipp Grubauer,34,SEA,G,32,28,13,12,4,79,866,787,.909,2.65,0,1791:06,17,.607,4,87,11.5,2.75,6.7,0,2,2,0,,grubaph01
46,Connor Ingram,28,EDM,G,32,30,16,10,3,77,763,686,.899,2.60,2,1778:14,19,.633,8,97,2.7,2.70,5.1,0,2,2,2,,ingraco01
47,Devin Cooley,28,CGY,G,31,26,10,10,6,77,847,770,.909,2.69,0,1718:00,19,.731,4,87,11.5,2.79,6.6,0,1,1,2,,coolede01
48,Joonas Korpisalo,31,BOS,G,31,28,14,9,6,90,851,761,.894,3.15,1,1713:05,13,.464,7,101,-1.1,3.29,5.3,0,0,0,2,,korpijo01
49,Casey DeSmith,34,DAL,G,30,28,15,8,6,71,760,689,.907,2.43,1,1755:00,17,.607,6,89,8.4,2.53,5.7,0,0,0,2,,desmica01
50,Elvis Merzļikins,31,CBJ,G,30,29,14,11,3,95,812,717,.883,3.40,1,1678:37,13,.448,9,112,-10.2,3.54,4.1,0,2,2,0,,merzlel01
51,David Rittich,33,NYI,G,30,28,14,10,3,76,719,643,.894,2.76,2,1651:21,16,.571,7,101,-0.9,2.87,4.5,0,0,0,0,,rittida01
52,Justus Annunen,25,NSH,G,28,23,10,12,2,67,711,644,.906,2.68,1,1500:32,14,.609,4,90,7.3,2.80,5.3,0,0,0,2,,annunju01
53,Adin Hill,29,VEG,G,27,27,10,9,6,76,586,510,.870,3.04,1,1497:49,9,.333,9,124,-14.8,3.16,2.2,0,1,1,2,,hillad01
54,Arvid Söderblom,26,CHI,G,26,24,8,13,3,93,774,681,.880,3.80,1,1468:37,9,.375,5,115,-12.1,3.96,3.7,0,0,0,4,,soderar01
55,Anthony Stolarz,32,TOR,G,26,25,10,10,3,76,708,632,.893,3.28,0,1389:15,11,.440,6,103,-2.0,3.41,4.3,0,0,0,2,,stolaan01
56,Eric Comrie,30,WPG,G,25,24,12,11,1,72,654,582,.890,3.13,0,1381:30,14,.583,7,105,-3.7,3.26,3.8,0,0,0,0,,comrier01
57,Jonas Johansson,30,TBL,G,25,23,11,10,2,78,670,592,.884,3.29,0,1423:31,11,.478,6,111,-8.0,3.41,3.4,0,0,0,0,,johanjo03
58,Sam Montembeault,29,MTL,G,25,23,10,8,4,81,636,555,.873,3.43,0,1418:12,8,.348,11,122,-14.5,3.60,2.5,0,0,0,0,,montesa01
59,Jonathan Quick,40,NYR,G,25,24,6,17,2,73,671,598,.891,3.09,2,1418:00,10,.417,7,104,-2.9,3.22,4.0,0,1,1,14,Byng-64,quickjo01
60,Vítek Vaněček,30,UTA,G,22,19,5,13,3,59,504,445,.883,2.93,1,1206:15,8,.421,7,112,-6.3,3.03,2.5,0,1,1,0,,vanecvi01
61,Charlie Lindgren,32,WSH,G,21,20,9,8,3,73,602,529,.879,3.52,1,1246:02,5,.250,5,116,-10.1,3.66,2.8,0,1,1,8,,lindgch01
62,Nikita Tolopilo,25,VAN,G,21,18,6,11,2,69,582,513,.881,3.61,0,1145:41,5,.278,7,113,-8.2,3.77,2.8,0,0,0,2,,tolopni01
63,Thatcher Demko,30,VAN,G,20,20,8,10,1,54,514,460,.895,2.90,1,1115:52,10,.500,4,101,-0.3,3.01,3.2,0,1,1,0,,demkoth01
64,Dennis Hildeby,24,TOR,G,20,14,5,7,4,48,548,500,.912,2.86,1,1008:44,8,.571,2,84,9.3,2.97,4.4,0,0,0,0,,hildede01
65,Ville Husso,30,ANA,G,20,19,10,8,2,62,534,472,.884,3.25,0,1145:38,8,.421,6,111,-6.2,3.40,2.7,0,0,0,2,,hussovi01
66,Leevi Merilainen,23,OTT,G,20,19,8,10,1,64,457,393,.860,3.51,0,1094:29,6,.316,7,134,-16.2,3.67,1.2,0,0,0,0,,merille01
67,Carter Hart,27,VEG,G,18,18,11,3,3,46,422,376,.891,2.71,0,1019:47,10,.556,4,104,-1.9,2.82,2.5,0,0,0,2,,hartca01
68,Jacob Fowler,21,MTL,G,17,17,9,6,2,41,448,407,.908,2.43,1,1010:42,10,.588,3,88,5.8,2.55,3.5,0,0,0,0,,fowleja01
69,Colten Ellis,25,BUF,G,16,14,8,4,2,44,455,411,.903,2.90,1,911:20,7,.500,1,93,3.5,3.03,3.3,0,1,1,0,,ellisco01
70,Calvin Pickard,33,EDM,G,16,13,5,6,2,53,410,357,.871,3.68,0,864:08,3,.231,4,124,-10.2,3.82,1.5,0,0,0,0,,pickaca01
71,James Reimer,37,OTT,G,14,13,7,4,2,33,289,256,.886,2.42,1,817:47,7,.538,3,109,-2.8,2.49,1.5,0,0,0,0,Byng-79,reimeja01
72,Petr Mrázek,33,ANA,G,10,8,3,5,0,35,247,212,.858,4.07,0,515:53,2,.250,3,136,-9.2,4.30,0.6,0,0,0,0,,mrazepe01
73,Pyotr Kochetkov,26,CAR,G,9,8,6,2,0,19,189,170,.899,2.33,1,490:09,3,.375,3,96,0.7,2.45,1.3,0,0,0,0,,kochepy01
74,Carl Lindbom,22,VEG,G,8,8,2,4,2,24,189,165,.873,3.00,0,480:40,2,.250,1,122,-4.3,3.12,0.8,0,0,0,0,,lindbca01
75,Spencer Martin,30,NYR,G,6,4,1,3,0,20,146,126,.863,4.13,0,290:39,1,.250,1,131,-4.7,4.34,0.4,0,0,0,0,,martisp01
76,Sergei Murashov,21,PIT,G,5,4,1,1,2,12,117,105,.897,2.56,1,281:17,1,.250,0,98,0.2,2.77,0.8,0,0,0,0,,murasse01
77,Matt Murray,31,SEA,G,5,4,0,2,1,8,102,94,.922,2.21,0,216:53,3,.750,0,75,2.7,2.21,0.9,0,0,0,0,,murrama02
78,Aleksei Kolosov,24,PHI,G,4,2,0,2,0,8,47,39,.830,4.00,0,120:01,1,.500,1,163,-3.1,4.00,0.0,0,0,0,0,,kolosal01
79,Trent Miner,24,COL,G,4,3,1,0,3,8,104,96,.923,2.03,1,236:34,1,.333,1,74,2.9,2.03,1.0,0,0,0,0,,minertr01
80,Clay Stevenson,26,WSH,G,4,4,3,1,0,8,101,93,.921,2.00,0,239:44,2,.500,0,76,2.6,2.00,0.9,0,0,0,0,,stevecl01
81,Artur Akhtyamov,24,TOR,G,3,2,0,2,0,11,81,70,.864,5.24,0,126:00,0,.000,1,130,-2.5,5.24,0.3,0,0,0,0,,akhtyar01
82,Drew Commesso,23,CHI,G,3,3,2,1,0,7,85,78,.918,2.31,1,181:43,2,.667,1,79,1.9,2.31,0.7,0,0,0,0,,commedr01
83,Nico Daws,25,NJD,G,3,3,2,1,0,8,87,79,.908,2.62,0,183:16,2,.667,1,88,1.1,2.62,0.7,0,0,0,0,,dawsni01
84,Dylan Garand,23,NYR,G,3,3,2,0,1,5,96,91,.948,1.62,0,185:00,3,1.000,0,50,5.0,1.62,1.1,0,0,0,0,,garandy01
85,Niklas Kokko,21,SEA,G,3,3,1,2,0,9,82,73,.890,3.04,0,177:41,1,.333,1,105,-0.4,3.04,0.5,0,0,0,0,,kokkoni01
86,Thomas Milic,22,WPG,G,3,1,0,1,0,8,62,54,.871,3.46,0,138:38,0,.000,0,123,-1.5,3.46,0.2,0,0,0,2,,milicth01
87,Cayden Primeau,26,TOR,G,3,3,2,1,0,13,80,67,.838,4.30,0,181:28,0,.000,1,156,-4.6,4.63,0.0,0,0,0,0,,primeca01
88,Brandon Halverson,29,TBL,G,2,1,0,1,0,4,21,17,.810,4.22,0,56:53,0,.000,1,182,-1.8,4.22,-0.1,0,0,0,0,,halvebr01
89,Mads Søgaard,25,OTT,G,2,1,1,0,0,6,36,30,.833,4.65,0,77:25,1,1.000,0,159,-2.2,4.65,0.0,0,0,0,0,,sogaama01
90,Laurent Brossoit,32,SJS,G,1,1,0,1,0,6,23,17,.739,6.09,0,59:09,0,.000,1,250,-3.6,6.09,-0.2,0,0,0,0,,brossla01
91,Vyacheslav Buteyets,23,ANA,G,1,0,0,0,0,3,13,10,.769,9.00,0,20:00,0,,0,221,-1.6,9.00,-0.1,0,0,0,0,,buteyvy01
92,Pheonix Copley,34,LAK,G,1,1,0,1,0,3,28,25,.893,3.07,0,58:34,0,.000,0,103,-0.1,3.07,0.2,0,0,0,0,,copleph01
93,Michael DiPietro,26,BOS,G,1,0,0,0,0,0,2,2,1.000,.00,0,6:03,0,,0,0,0.2,.00,0.0,0,0,0,0,,dipiemi01
94,Marcus Högberg,31,NYI,G,1,0,0,0,0,2,7,5,.714,8.90,0,13:29,0,,0,273,-1.3,8.90,-0.1,0,0,0,0,,hogbema01
95,Victor Ostman,25,SEA,G,1,1,0,1,0,2,35,33,.943,2.10,0,57:10,1,1.000,0,55,1.7,2.10,0.4,0,0,0,0,,ostmavi01
96,Jiří Patera,26,VAN,G,1,1,0,1,0,7,40,33,.825,7.39,0,56:49,0,.000,1,167,-2.8,7.39,0.0,0,0,0,0,,paterji01
97,Arsenii Sergeev,23,CGY,G,1,1,1,0,0,1,28,27,.964,1.00,0,60:00,1,1.000,0,34,1.9,1.00,0.4,0,0,0,0,,sergear01
98,Hunter Shepard,30,OTT,G,1,0,0,1,0,2,12,10,.833,3.35,0,35:47,0,,0,159,-0.7,3.35,0.0,0,0,0,0,,shepahu01
,League Average,,,,,,,,,,,,.896,2.88,,,,.539,,,,3.00,,,,,,,-9999
