,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,,-additional
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
786,Beckett Sennecke,20,ANA,F,82,1372,1245,52.4,-0.1,1020,934,52.2,-0.6,10.1,87.7,97.8,57.2,42.8,17:27,15:03,26,96,6.5,388,51.0,sennebe01
787,Mikhail Sergachev,27,UTA,D,78,1524,1359,52.9,-1.0,1079,984,52.3,-1.5,10.5,88.3,98.8,52.1,47.9,24:18,18:15,32,108,6.8,366,43.4,sergami01
788,Damon Severson,31,CBJ,D,71,1464,1228,54.4,5.7,1065,896,54.3,6.0,10.5,90.2,100.7,48.9,51.1,21:04,19:21,28,82,11.0,238,39.1,severda01
789,Maksim Shabanov,25,NYI,F,44,472,580,44.9,-5.0,356,419,45.9,-4.8,10.5,89.7,100.3,50.3,49.7,13:41,12:04,11,35,-7.4,114,49.1,shabama01
790,Yegor Sharangovich,27,CGY,C,78,1054,1084,49.3,1.2,725,774,48.4,0.6,8.1,89.4,97.4,53.0,47.0,16:03,13:30,18,55,-7.9,303,46.9,sharaye01
791,Ryan Shea,28,PIT,D,80,1290,1352,48.8,-2.0,959,983,49.4,-1.7,14.2,91.0,105.2,47.1,52.9,18:53,16:27,24,57,4.5,191,37.7,sheary01
792,Conor Sheary,33,NYR,LW,62,732,747,49.5,-0.8,502,529,48.7,-0.9,7.8,92.5,100.3,46.3,53.7,14:06,12:38,18,42,-0.6,167,48.5,shearco01
793,Kiefer Sherwood,30,TOT,RW,72,1023,892,53.4,5.5,755,667,53.1,5.5,9.3,86.3,95.6,47.5,52.5,17:16,13:59,26,76,-2.4,357,48.2,sherwki01
793,Kiefer Sherwood,30,VAN,RW,44,576,537,51.8,3.9,430,399,51.9,4.7,9.7,86.4,96.1,47.7,52.3,17:32,13:16,18,47,-2.1,231,47.2,sherwki01
793,Kiefer Sherwood,30,SJS,RW,28,447,355,55.7,7.8,325,268,54.8,6.4,8.8,86.2,95.0,47.2,52.8,16:50,15:07,8,29,-0.3,126,50.0,sherwki01
794,Dominik Shine,32,DET,F,18,85,141,37.6,-10.8,65,103,38.7,-11.8,8.7,93.7,102.3,43.8,56.3,6:56,6:47,6,8,-1.1,19,68.4,shinedo01
795,Jonas Siegenthaler,28,NJD,D,82,1369,1398,49.5,-3.4,994,1004,49.7,-2.8,8.4,90.2,98.6,44.0,56.0,19:29,17:43,21,90,-5.3,166,36.1,siegejo01
796,Cole Sillinger,22,CBJ,C,81,1114,1148,49.2,-1.6,812,826,49.6,-0.9,10.4,89.9,100.3,45.0,55.0,15:13,14:09,31,58,-1.9,247,55.1,sillico01
797,Dmitriy Simashev,20,UTA,D,28,342,384,47.1,-7.5,258,268,49.0,-6.9,4.0,89.9,93.9,50.4,49.6,15:06,14:55,1,30,-1.2,50,52.0,simasdm01
798,Colton Sissons,32,VEG,C,66,593,639,48.1,-5.4,428,456,48.4,-5.8,5.2,90.4,95.6,35.5,64.5,12:30,10:34,12,30,3.1,136,54.4,sissoco01
799,Hunter Skinner,24,STL,D,1,5,9,35.7,-11.8,4,7,36.4,-5.5,50.0,80.0,130.0,100.0,0.0,10:45,10:45,0,0,-0.3,1,0.0,skinnhu01
800,Jeff Skinner,33,SJS,LW/C,32,296,368,44.6,-0.7,205,276,42.6,-2.0,9.0,88.6,97.6,39.8,60.2,12:21,10:35,10,27,-2.3,117,47.9,skinnje01
801,Brady Skjei,31,NSH,D,82,1400,1552,47.4,-4.1,1018,1196,46.0,-4.0,10.7,89.4,100.1,40.5,59.5,22:37,18:38,30,113,-11.0,273,40.7,skjeibr01
802,Wilmer Skoog,26,FLA,F,3,33,39,45.8,-7.1,29,25,53.7,1.8,18.8,100.0,118.8,31.3,68.8,15:01,14:06,0,1,-0.2,10,40.0,skoogwi01
803,Juraj Slafkovsky,21,MTL,LW,82,1282,1289,49.9,1.8,963,898,51.7,3.2,12.9,89.3,102.1,55.6,44.4,18:32,15:13,16,82,0.5,396,45.7,slafkju01
804,Landon Slaggert,23,CHI,LW,53,346,461,42.9,-3.1,254,332,43.3,-2.4,8.5,92.9,101.4,40.9,59.1,10:33,9:31,4,12,-7.4,83,56.6,slaggla01
805,Jaccob Slavin,31,CAR,D,39,758,557,57.6,-2.9,563,424,57.0,-3.2,10.8,88.9,99.6,48.3,51.7,21:19,18:22,32,37,1.0,127,49.6,slavija01
806,Josiah Slavin,27,CAR,LW,2,26,19,57.8,8.1,18,15,54.5,4.5,14.3,100.0,114.3,58.3,41.7,15:01,13:13,1,0,-0.4,4,0.0,slavijo01
807,Brendan Smith,36,CBJ,D,15,121,153,44.2,-6.7,80,109,42.3,-7.2,8.9,92.0,100.9,55.1,44.9,11:05,10:24,5,15,-2.2,21,47.6,smithbr05
808,Cole Smith,30,TOT,F,63,640,607,51.3,-1.9,461,440,51.2,-0.8,6.8,89.9,96.8,27.1,72.9,13:17,11:17,14,21,-1.7,145,47.6,smithco02
808,Cole Smith,30,NSH,F,42,435,454,48.9,-2.4,314,328,48.9,-0.4,8.4,88.5,96.9,25.6,74.4,14:07,11:49,13,15,-3.4,104,49.0,smithco02
808,Cole Smith,30,VEG,F,21,205,153,57.3,0.4,147,112,56.8,-0.5,3.3,94.4,97.7,30.8,69.2,11:38,10:14,1,6,1.7,41,43.9,smithco02
809,Reilly Smith,34,VEG,RW,69,803,789,50.4,-1.8,575,561,50.6,-1.8,8.3,88.3,96.6,50.6,49.4,13:41,12:21,10,62,2.2,165,57.6,smithre01
810,Will Smith,20,SJS,C,69,951,984,49.1,3.6,705,731,49.1,4.8,11.9,89.8,101.8,62.1,37.9,18:11,14:49,14,83,3.7,320,51.9,smithwi01
811,Jimmy Snuggerud,21,STL,RW,70,944,1024,48.0,-0.1,674,752,47.3,-0.7,12.9,92.0,104.8,52.5,47.5,16:42,14:26,24,61,4.3,335,50.4,snuggji01
812,Elmer Söderblom,24,TOT,RW,59,548,625,46.7,-2.3,390,430,47.6,-2.0,8.2,92.4,100.6,38.2,61.8,11:07,10:52,13,46,1.9,145,47.6,soderel01
812,Elmer Söderblom,24,DET,RW,39,355,395,47.3,-1.5,256,277,48.0,-1.8,4.0,94.4,98.4,45.8,54.2,10:41,10:35,7,29,0.5,96,43.8,soderel01
812,Elmer Söderblom,24,PIT,RW,20,193,230,45.6,-3.8,134,153,46.7,-2.4,15.2,88.5,103.8,26.9,73.1,11:57,11:24,6,17,1.4,49,55.1,soderel01
813,Victor Söderström,24,BOS,D,8,90,119,43.1,-9.5,64,82,43.8,-9.3,15.0,93.5,108.5,59.7,40.3,13:41,13:35,2,11,-0.6,15,53.3,sodervi01
814,Ilya Solovyov,25,TOT,D,30,410,340,54.7,1.5,305,227,57.3,5.1,10.4,87.6,98.0,47.5,52.5,12:45,12:27,5,19,4.8,68,33.8,solovil01
814,Ilya Solovyov,25,COL,D,16,223,163,57.8,0.8,159,108,59.6,3.4,5.8,91.6,97.4,57.4,42.6,11:34,11:23,3,6,2.5,43,32.6,solovil01
814,Ilya Solovyov,25,PIT,D,14,187,177,51.4,3.4,146,119,55.1,7.8,15.7,83.3,99.1,37.1,62.9,14:06,13:40,2,13,2.4,25,36.0,solovil01
815,Carson Soucy,31,TOT,D,76,966,1135,46.0,-5.6,686,823,45.5,-5.5,8.9,91.4,100.3,48.7,51.3,16:31,14:59,20,77,-9.5,159,39.0,soucyca01
815,Carson Soucy,31,NYR,D,46,571,734,43.8,-7.8,400,525,43.2,-7.3,10.2,93.1,103.3,46.0,54.0,17:13,15:29,14,49,-7.4,94,41.5,soucyca01
815,Carson Soucy,31,NYI,D,30,395,401,49.6,-2.1,286,298,49.0,-2.5,6.9,88.5,95.3,53.8,46.2,15:27,14:14,6,28,-2.1,65,35.4,soucyca01
816,Justin Sourdif,23,WSH,RW,78,995,986,50.2,1.0,723,694,51.0,1.0,10.9,92.2,103.2,37.9,62.1,14:44,13:36,21,55,2.3,225,48.0,sourdju01
817,David Spacek,22,MIN,D,2,10,41,19.6,-28.6,10,27,27.0,-21.1,16.7,87.5,104.2,37.5,62.5,10:45,10:45,0,1,-1.1,0,,spaceda01
818,Jordan Spence,24,OTT,D,73,1429,936,60.4,11.1,1051,678,60.8,10.6,9.3,89.8,99.1,67.5,32.5,18:44,17:16,16,68,23.0,280,38.6,spencjo01
819,Jared Spurgeon,36,MIN,D,79,1196,1298,48.0,-0.5,892,919,49.3,0.1,8.3,92.3,100.6,46.8,53.2,19:36,16:22,15,56,-0.5,204,44.1,spurgja01
820,Jack St. Ivany,26,PIT,D,20,282,299,48.5,-3.8,206,217,48.7,-2.9,12.0,91.8,103.8,45.8,54.2,16:20,15:01,4,22,1.3,43,39.5,stivajo01
821,Jordan Staal,37,CAR,C,75,1118,805,58.1,-2.1,794,586,57.5,-1.7,10.3,87.4,97.7,46.8,53.2,16:11,13:10,16,46,4.8,226,47.3,staaljo01
822,Steven Stamkos,35,NSH,C,82,1201,1163,50.8,1.1,872,898,49.3,1.1,11.3,87.5,98.8,51.8,48.2,17:50,14:36,24,65,-3.3,408,50.5,stamkst01
823,Logan Stankoven,22,CAR,C,81,1339,834,61.6,2.7,952,637,59.9,1.6,10.4,88.8,99.2,67.6,32.4,15:27,13:51,28,46,13.3,315,52.7,stanklo01
824,Logan Stanley,27,TOT,D,76,1065,1154,48.0,-2.4,770,859,47.3,-3.3,11.1,91.4,102.5,46.0,54.0,16:42,15:18,17,66,-9.5,260,36.5,stanllo01
824,Logan Stanley,27,WPG,D,59,847,948,47.2,-2.4,602,710,45.9,-4.2,11.2,90.9,102.1,49.2,50.8,17:12,15:56,11,52,-8.9,208,35.1,stanllo01
824,Logan Stanley,27,BUF,D,17,218,206,51.4,-1.5,168,149,53.0,0.9,10.6,94.0,104.6,34.1,65.9,14:57,13:03,6,14,-0.7,52,42.3,stanllo01
825,Spencer Stastney,26,TOT,D,66,839,815,50.7,-1.1,606,584,50.9,-0.2,7.2,89.6,96.7,49.4,50.6,15:30,14:00,19,66,-4.1,123,45.5,stastsp01
825,Spencer Stastney,26,EDM,D,36,428,500,46.1,-6.8,320,360,47.1,-6.6,6.9,89.3,96.2,47.5,52.5,16:02,14:34,10,44,-6.9,56,46.4,stastsp01
825,Spencer Stastney,26,NSH,D,30,411,315,56.6,6.2,286,224,56.1,8.1,7.5,90.0,97.5,51.9,48.1,14:52,13:20,9,22,2.8,67,44.8,stastsp01
826,Troy Stecher,31,TOT,D,64,951,1149,45.3,1.3,705,868,44.8,0.2,10.3,90.1,100.5,42.6,57.4,19:11,17:11,13,71,-6.0,172,37.2,stechtr01
826,Troy Stecher,31,TOR,D,58,898,1068,45.7,2.3,671,808,45.4,1.4,10.4,89.8,100.3,42.2,57.8,19:46,17:35,11,63,-4.6,163,37.4,stechtr01
826,Troy Stecher,31,EDM,D,6,53,81,39.6,-9.6,34,60,36.2,-14.4,8.3,94.6,102.9,47.5,52.5,13:37,13:18,2,8,-1.5,9,33.3,stechtr01
827,Sam Steel,27,DAL,C,73,806,927,46.5,-1.8,577,641,47.4,-1.3,11.1,90.9,101.9,53.0,47.0,16:04,13:32,20,50,0.3,149,55.0,steelsa01
828,Alex Steeves,26,BOS,F,43,425,432,49.6,1.6,309,296,51.1,3.5,10.6,91.7,102.3,47.9,52.1,11:56,10:33,9,23,-0.5,109,50.5,steeval02
829,Otto Stenberg,20,STL,C,32,323,379,46.0,-2.5,222,270,45.1,-3.3,8.9,94.5,103.4,42.9,57.1,13:37,12:15,5,15,-4.0,65,47.7,stenbot01
830,Kevin Stenlund,29,UTA,C,80,798,889,47.3,-7.7,553,600,48.0,-6.6,8.7,89.4,98.2,34.1,65.9,14:29,11:18,13,50,-10.4,167,39.5,stenlke01
831,Chandler Stephenson,31,SEA,C,80,993,1442,40.8,-7.0,712,1057,40.2,-8.1,9.7,90.2,99.9,34.4,65.6,19:23,14:52,32,67,-16.7,159,58.5,stephch02
832,Riley Stillman,27,EDM,D,4,31,46,40.3,-8.7,23,39,37.1,-9.9,11.8,95.8,107.6,34.6,65.4,12:02,12:02,0,2,-0.3,4,25.0,stillri01
833,Mark Stone,33,VEG,RW,60,967,739,56.7,6.0,709,513,58.0,7.9,14.2,87.6,101.8,61.2,38.8,19:13,14:36,28,70,16.3,241,53.9,stonema01
834,Dylan Strome,28,WSH,C,80,1248,1235,50.3,1.3,915,896,50.5,0.3,13.2,88.4,101.6,67.8,32.2,18:02,14:52,19,75,5.1,261,54.8,stromdy01
835,Ryan Strome,32,TOT,C,52,628,606,50.9,1.0,448,446,50.1,-0.7,10.4,87.4,97.8,54.4,45.6,13:18,11:57,8,42,-0.2,119,47.9,stromry01
835,Ryan Strome,32,ANA,C,33,407,328,55.4,3.1,295,235,55.7,2.3,8.4,86.2,94.6,52.5,47.5,12:10,10:55,5,22,3.4,81,43.2,stromry01
835,Ryan Strome,32,CGY,C,19,221,278,44.3,-0.7,153,211,42.0,-3.4,13.6,88.5,102.1,57.1,42.9,15:15,13:45,3,20,-3.6,38,57.9,stromry01
836,William Stromgren,22,CGY,LW,3,12,25,32.4,-16.6,10,17,37.0,-9.2,0.0,92.3,92.3,50.0,50.0,7:17,7:17,0,0,-1.1,2,100.0,stromwi01
837,Jayden Struble,24,MTL,D,59,715,718,49.9,1.0,516,517,50.0,0.1,11.7,90.6,102.3,58.9,41.1,14:01,13:52,13,52,-1.9,89,29.2,strubja01
838,Jack Studnicka,26,FLA,C,19,104,133,43.9,-7.6,68,94,42.0,-7.7,4.5,86.7,91.2,54.2,45.8,7:06,6:54,3,4,-2.1,26,61.5,studnja01
839,Nico Sturm,30,MIN,C,49,378,483,43.9,-5.9,288,329,46.7,-3.7,8.4,91.8,100.2,31.9,68.1,10:57,9:09,10,20,-0.1,73,52.1,sturmni01
840,Tim Stützle,24,OTT,LW,80,1273,1057,54.6,2.8,921,779,54.2,1.1,12.4,86.9,99.3,71.5,28.5,20:16,14:57,34,92,11.1,364,53.3,stuetti02
841,Oskar Sundqvist,31,STL,C,52,370,596,38.3,-11.0,263,410,39.1,-10.1,11.6,85.8,97.4,27.3,72.7,12:58,10:36,12,23,-9.4,71,52.1,sundqos01
842,Aydar Suniev,21,CGY,LW,6,49,57,46.2,1.7,34,41,45.3,-0.8,7.4,92.0,99.4,58.1,41.9,11:37,10:05,2,3,0.7,15,60.0,sunieay01
843,Pius Suter,29,STL,F,64,744,788,48.6,0.0,563,585,49.0,0.9,10.2,92.5,102.7,42.3,57.7,15:54,13:02,13,34,2.1,181,52.5,suterpi01
844,Nick Suzuki,26,MTL,C,82,1443,1255,53.5,7.3,1077,861,55.6,9.1,14.1,89.8,103.9,53.1,46.9,20:49,16:34,29,72,12.6,385,47.5,suzukni01
845,Fedor Svechkov,22,NSH,C,70,745,753,49.7,-0.3,517,566,47.7,-1.2,8.5,90.2,98.7,55.3,44.7,12:05,11:28,19,49,0.5,143,49.0,svechfe01
846,Andrei Svechnikov,25,CAR,RW,79,1421,925,60.6,1.3,1034,726,58.8,0.1,9.2,88.1,97.4,61.4,38.6,16:59,14:00,23,92,9.1,426,47.7,svechan01
847,Adam Sykora,21,NYR,LW,11,106,120,46.9,-5.4,70,80,46.7,-5.8,11.9,89.8,101.7,55.2,44.8,11:10,11:01,2,3,-0.1,27,55.6,sykorad01
848,Brandon Tanev,34,UTA,LW,56,437,485,47.4,-6.7,310,333,48.2,-6.0,4.8,89.1,94.0,39.9,60.1,9:22,9:11,7,35,-6.4,86,48.8,tanevbr01
849,Chris Tanev,36,TOR,D,11,137,165,45.4,-2.4,104,119,46.6,-2.2,17.8,92.1,109.9,37.5,62.5,17:58,15:47,5,8,1.1,18,44.4,tanevch01
850,Vladimir Tarasenko,34,MIN,RW,75,872,1055,45.3,-4.8,633,726,46.6,-4.2,9.7,90.1,99.7,47.5,52.5,14:56,12:39,12,65,-3.4,278,53.2,tarasvl01
851,John Tavares,35,TOR,C,82,1208,1292,48.3,5.1,907,955,48.7,5.0,11.6,86.2,97.8,54.4,45.6,18:11,15:27,26,75,-4.5,383,50.1,tavarjo01
852,Teuvo Teräväinen,31,CHI,F,75,818,926,46.9,1.3,602,701,46.2,1.2,7.3,87.4,94.7,47.7,52.3,17:45,12:51,22,71,-14.2,191,46.6,teravte01
853,Troy Terry,28,ANA,C/RW,61,1014,809,55.6,3.8,758,599,55.9,4.1,12.2,86.2,98.5,58.1,41.9,18:21,14:14,25,49,9.7,314,51.3,terrytr01
854,Alexandre Texier,26,TOT,C,51,627,571,52.3,3.8,437,408,51.7,1.9,10.0,93.1,103.1,46.5,53.5,13:39,12:26,6,23,2.7,150,49.3,texieal01
854,Alexandre Texier,26,MTL,C,43,569,501,53.2,5.1,399,355,52.9,3.1,10.6,92.7,103.3,47.6,52.4,14:17,12:57,5,21,2.7,137,48.9,texieal01
854,Alexandre Texier,26,STL,C,8,58,70,45.3,-6.0,38,53,41.8,-7.9,3.8,96.3,100.1,35.5,64.5,10:15,9:41,1,2,0.0,13,53.8,texieal01
855,Shea Theodore,30,VEG,D,70,1460,1255,53.8,1.5,1060,903,54.0,1.8,10.4,90.1,100.4,52.1,47.9,22:50,19:59,23,90,14.8,322,40.4,theodsh01
856,Robert Thomas,26,STL,C,64,929,889,51.1,5.5,668,658,50.4,4.6,14.5,90.3,104.8,51.7,48.3,19:01,15:08,31,96,6.8,195,52.3,thomaro01
857,Tage Thompson,28,BUF,C,81,1288,1268,50.4,2.1,952,938,50.4,1.4,12.5,87.8,100.3,55.7,44.3,19:15,15:41,28,69,-6.8,557,48.8,thompta01
858,Lassi Thomson,25,OTT,D,11,139,124,52.9,4.1,104,92,53.1,3.0,11.6,92.9,104.5,48.6,51.4,13:45,13:01,4,6,1.6,31,35.5,thomsla01
859,Henry Thrun,24,TOR,D,4,37,52,41.6,-5.4,28,36,43.8,-3.2,4.8,91.3,96.1,31.4,68.6,14:52,14:27,0,1,-1.0,5,80.0,thrunhe01
860,Conor Timmins,27,BUF,D,39,529,676,43.9,-8.6,400,483,45.3,-6.6,9.5,89.7,99.2,43.2,56.8,18:46,15:43,8,45,-6.0,108,40.7,timmico01
861,Owen Tippett,26,PHI,RW,81,1038,1071,49.2,1.9,768,764,50.1,2.0,11.7,87.1,98.8,46.5,53.5,16:51,14:12,28,89,7.7,435,50.8,tippeow01
862,Brady Tkachuk,26,OTT,LW,60,987,715,58.0,6.8,729,507,59.0,7.0,9.6,86.6,96.2,66.3,33.7,16:58,13:36,14,40,24.0,370,59.7,tkachbr01
863,Matthew Tkachuk,28,FLA,LW/RW,31,502,376,57.2,6.4,362,304,54.4,4.1,11.1,87.0,98.1,58.1,41.9,18:18,14:24,8,38,2.3,192,45.8,tkachma01
864,Devon Toews,31,COL,D,68,1476,1144,56.3,-0.3,1051,854,55.2,-1.3,12.0,91.7,103.6,58.1,41.9,22:22,18:33,29,64,16.3,240,47.9,toewsde01
865,Jonathan Toews,37,WPG,C,82,922,986,48.3,-0.7,656,722,47.6,-1.5,7.0,89.8,96.8,58.6,41.4,14:29,12:23,19,66,-5.5,177,59.3,toewsjo01
866,Tyler Toffoli,33,SJS,C,79,900,963,48.3,2.4,638,690,48.0,2.8,11.2,87.0,98.2,51.5,48.5,14:59,12:01,18,58,3.5,350,49.1,toffoty01
867,Eeli Tolvanen,26,SEA,RW,78,898,1179,43.2,-3.1,631,840,42.9,-3.9,9.4,89.8,99.2,38.7,61.3,16:03,13:10,18,49,-12.2,294,48.0,tolvaee01
868,David Tomasek,29,EDM,F,22,164,190,46.3,-5.8,116,134,46.4,-6.2,7.1,87.0,94.1,51.1,48.9,10:46,8:56,3,12,0.8,52,57.7,tomasda01
869,Philip Tomasino,24,PIT,C,9,92,107,46.2,-2.8,57,72,44.2,-5.0,3.0,94.0,97.0,59.5,40.5,12:10,11:56,0,3,-1.5,21,42.9,tomasph01
870,Dominic Toninato,31,CHI,C,8,68,52,56.7,11.7,47,39,54.7,12.0,3.2,95.7,98.9,50.0,50.0,9:09,9:09,2,2,-0.2,16,50.0,tonindo01
871,Alexey Toropchenko,26,STL,RW,65,464,673,40.8,-8.9,330,460,41.8,-7.5,7.9,89.3,97.2,27.2,72.8,11:59,10:19,8,30,-6.4,113,60.2,toropal01
872,Yakov Trenin,29,MIN,C,82,843,996,45.8,-3.2,624,690,47.5,-2.1,10.7,93.0,103.7,37.6,62.4,13:17,11:50,24,63,-1.7,191,51.3,treniya01
873,Bogdan Trineyev,23,WSH,RW,2,23,14,62.2,12.6,19,10,65.5,16.6,0.0,100.0,100.0,50.0,50.0,10:32,10:18,1,1,0.0,3,33.3,trinebo01
874,Vincent Trocheck,32,NYR,C,67,1019,995,50.6,3.4,692,747,48.1,1.1,13.0,86.4,99.5,52.0,48.0,20:33,15:29,27,80,-7.4,256,44.5,trochvi01
875,Jacob Trouba,31,ANA,D,81,1672,1554,51.8,-1.0,1224,1125,52.1,-0.7,9.4,89.2,98.6,48.9,51.1,22:50,19:04,22,89,-3.1,345,48.1,troubja01
876,Maxim Tsyplakov,27,TOT,F,49,385,394,49.4,-1.5,284,276,50.7,-0.7,5.3,84.7,89.9,54.4,45.6,9:07,9:00,8,28,-5.1,91,46.2,tsyplma01
876,Maxim Tsyplakov,27,NYI,F,27,235,234,50.1,1.3,169,156,52.0,2.5,6.9,84.2,91.1,55.1,44.9,9:39,9:30,3,16,-2.9,52,42.3,tsyplma01
876,Maxim Tsyplakov,27,NJD,F,22,150,160,48.4,-4.9,115,120,48.9,-4.5,2.9,85.3,88.2,53.5,46.5,8:28,8:24,5,12,-2.1,39,51.3,tsyplma01
877,Alex Tuch,29,BUF,RW,79,1235,1209,50.5,2.0,928,885,51.2,2.3,13.7,89.4,103.2,53.6,46.4,18:60,14:53,39,60,-1.8,376,51.9,tuchal01
878,Tyler Tucker,25,STL,D,69,804,792,50.4,3.8,596,591,50.2,3.9,11.6,86.0,97.6,49.5,50.5,14:22,13:14,13,58,1.0,160,42.5,tuckety01
879,Riley Tufte,27,BOS,LW,4,43,58,42.6,-7.1,36,39,48.0,0.7,0.0,94.7,94.7,23.8,76.2,11:40,10:23,0,1,0.4,8,50.0,tufteri01
880,Alex Turcotte,24,LAK,C,62,704,586,54.6,3.2,497,416,54.4,3.8,6.4,89.1,95.6,55.8,44.2,10:50,10:31,14,27,8.4,138,48.6,turcoal02
881,Ryan Tverberg,24,TOR,C,2,12,18,40.0,-6.0,10,13,43.5,-1.5,16.7,100.0,116.7,66.7,33.3,9:52,9:52,0,1,0.3,2,50.0,tverbry01
882,T.J. Tynan,33,COL,C,1,9,17,34.6,-15.9,6,14,30.0,-17.8,25.0,100.0,125.0,40.0,60.0,8:13,8:13,0,0,-0.7,1,100.0,tynant.01
883,Kai Uchacz,22,VEG,F,3,19,30,38.8,-14.8,15,17,46.9,-10.0,10.0,83.3,93.3,60.0,40.0,12:11,11:31,0,2,-0.3,3,66.7,uchacka01
884,Ryan Ufko,22,NSH,D,18,194,241,44.6,-0.1,135,182,42.6,-0.5,12.4,91.3,103.6,56.8,43.2,13:53,12:14,3,12,-2.1,33,33.3,ufkory01
885,Felix Unger Sorum,20,CAR,RW,1,6,10,37.5,-6.9,6,6,50.0,2.5,25.0,100.0,125.0,40.0,60.0,14:35,13:46,0,3,-0.2,2,0.0,ungerfe01
886,Urho Vaakanainen,27,NYR,D,34,408,399,50.6,2.4,275,291,48.6,0.9,9.9,91.5,101.4,35.4,64.6,13:51,13:13,5,22,0.0,66,34.8,vaakaur01
887,James van Riemsdyk,36,DET,LW,72,694,755,47.9,-0.5,508,540,48.5,-1.2,7.2,89.2,96.4,47.3,52.7,11:45,9:54,11,39,0.0,201,49.3,vanrija01
888,Trevor van Riemsdyk,34,WSH,D,68,899,974,48.0,-1.9,637,662,49.0,-1.6,10.5,91.1,101.6,41.8,58.2,16:14,14:27,17,46,2.8,104,42.3,vanritr01
889,Frank Vatrano,31,ANA,LW,50,506,546,48.1,-5.0,361,400,47.4,-5.7,6.6,87.9,94.5,44.9,55.1,11:49,10:16,6,17,-7.2,148,53.4,vatrafr01
890,Joe Veleno,26,MTL,C,61,518,596,46.5,-2.6,353,411,46.2,-4.1,8.3,88.4,96.6,43.3,56.7,12:05,10:31,8,19,-1.4,100,52.0,velenjo01
891,Carter Verhaeghe,30,FLA,C,77,1313,1060,55.3,4.8,941,834,53.0,2.7,10.6,86.2,96.9,57.0,43.0,17:37,14:53,29,66,5.5,384,48.7,verhaca01
892,Jeffrey Viel,29,TOT,F,45,602,522,53.6,1.2,448,365,55.1,2.9,8.6,88.3,96.9,47.1,52.9,11:56,11:46,8,30,4.4,128,48.4,vielje01
892,Jeffrey Viel,29,ANA,F,35,490,431,53.2,0.8,367,309,54.3,1.8,9.1,88.3,97.4,47.0,53.0,12:37,12:26,7,28,3.0,107,47.7,vielje01
892,Jeffrey Viel,29,BOS,F,10,112,91,55.2,2.9,81,56,59.1,7.9,6.4,88.6,95.0,47.5,52.5,9:30,9:24,1,2,1.4,21,52.4,vielje01
893,Gabriel Vilardi,26,WPG,C,82,1233,1252,49.6,1.1,935,950,49.6,1.3,12.2,87.9,100.1,65.4,34.6,18:44,15:38,14,63,-0.6,299,50.2,vilarga01
894,Topias Vilen,22,NJD,D,2,25,22,53.2,-0.8,15,19,44.1,-7.3,10.0,100.0,110.0,38.5,61.5,15:28,15:19,0,1,-0.2,1,0.0,vilento01
895,William Villeneuve,23,TOR,D,3,41,45,47.7,3.0,32,32,50.0,7.8,6.3,100.0,106.3,57.1,42.9,17:20,17:20,1,1,-1.2,6,33.3,villewi01
896,Sandis Vilmanis,22,FLA,LW,19,176,155,53.2,-0.5,131,118,52.6,0.5,8.6,88.2,96.9,65.3,34.7,10:24,10:04,5,11,0.9,30,50.0,vilmasa01
897,Alex Vlasic,24,CHI,D,81,1244,1542,44.7,-1.9,902,1161,43.7,-2.6,9.8,90.1,99.8,35.0,65.0,21:08,18:13,28,92,-29.9,213,40.4,vlasial01
898,Dmitri Voronkov,25,CBJ,LW,63,825,737,52.8,3.4,598,533,52.9,3.9,9.6,89.2,98.8,64.5,35.5,13:56,11:55,9,41,5.4,194,56.7,vorondi01
899,Nathan Walker,31,STL,C,46,372,479,43.7,-5.5,277,326,45.9,-2.2,10.8,85.4,96.2,33.7,66.3,11:59,10:56,3,26,-2.7,72,54.2,walkena01
900,Sean Walker,31,CAR,D,81,1854,1191,60.9,1.9,1305,862,60.2,2.4,9.5,86.7,96.2,55.5,44.5,21:49,19:08,33,96,19.2,449,39.9,walkese01
901,Jake Walman,29,EDM,D,53,874,939,48.2,-4.1,632,664,48.8,-3.8,9.1,85.7,94.9,57.8,42.2,18:45,17:04,14,60,-1.0,208,46.2,walmaja01
902,Taylor Ward,27,LAK,F,36,324,335,49.2,-2.4,212,215,49.6,-2.0,9.6,92.5,102.0,32.8,67.2,9:28,8:51,2,20,-2.0,99,38.4,wardta01
903,Marshall Warren,24,NYI,D,8,78,74,51.3,-0.4,56,57,49.6,-1.5,8.3,91.2,99.5,59.6,40.4,11:29,11:12,1,7,0.3,19,36.8,warrema01
904,Tim Washe,24,ANA,F,39,356,389,47.8,-5.6,261,272,49.0,-4.4,7.4,89.9,97.3,31.6,68.4,12:03,10:08,12,11,-7.1,76,43.4,washeti01
905,MacKenzie Weegar,32,TOT,D,79,1592,1473,51.9,1.3,1091,1032,51.4,1.4,7.3,87.0,94.3,52.3,47.7,22:28,18:47,32,124,-4.8,393,39.2,weegama01
