,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,,-additional
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
742,Matthew Robertson,24,NYR,D,72,1036,1097,48.6,-0.9,727,780,48.2,0.1,10.3,90.6,100.9,47.4,52.6,17:24,15:50,9,52,-2.7,216,36.6,roberma02
743,Nicholas Robertson,24,TOR,LW,78,773,986,43.9,-1.1,582,729,44.4,-1.2,10.4,89.5,99.9,46.3,53.7,12:40,11:28,23,67,-10.7,228,55.7,roberni01
744,Justin Robidas,22,CAR,C,2,23,18,56.1,-2.5,15,13,53.6,-8.3,10.0,83.3,93.3,58.8,41.2,10:41,10:41,0,1,0.1,3,66.7,robidju01
745,Eric Robinson,30,CAR,LW,67,754,564,57.2,-3.8,538,405,57.1,-3.1,8.9,90.4,99.4,59.1,40.9,11:26,10:21,9,29,6.1,182,46.2,robiner01
746,Evan Rodrigues,32,FLA,C,69,1021,822,55.4,4.6,745,610,55.0,5.3,8.0,86.0,94.1,52.7,47.3,16:60,13:49,31,47,7.1,316,50.6,rodriev01
747,Alexander Romanov,26,NYI,D,15,216,287,42.9,-9.4,159,213,42.7,-11.2,7.9,89.2,97.1,58.5,41.5,19:27,17:16,4,18,-10.1,38,44.7,romanal01
748,Kevin Rooney,32,UTA,C,1,8,6,57.1,3.6,6,5,54.5,-2.9,25.0,100.0,125.0,33.3,66.7,9:44,9:44,0,1,0.1,3,33.3,rooneke01
749,Isak Rosen,22,TOT,RW,37,308,387,44.3,-3.3,226,265,46.0,-1.0,8.8,89.8,98.6,56.3,43.7,11:30,9:56,5,18,-0.4,95,36.8,rosenis01
749,Isak Rosen,22,WPG,RW,21,174,199,46.6,-3.3,129,145,47.1,-2.6,7.7,89.6,97.3,57.9,42.1,10:42,9:25,1,7,-0.1,56,33.9,rosenis01
749,Isak Rosen,22,BUF,RW,16,134,188,41.6,-3.1,97,120,44.7,1.1,10.2,90.0,100.2,54.2,45.8,12:34,10:38,4,11,-0.3,39,41.0,rosenis01
750,Jack Roslovic,29,EDM,C,69,1065,961,52.6,3.2,778,712,52.2,1.9,8.8,87.1,95.9,60.4,39.6,15:46,14:37,13,64,8.2,268,52.6,rosloja01
751,Marco Rossi,24,TOT,C,50,644,723,47.1,2.0,458,546,45.6,-0.1,10.1,84.1,94.2,56.8,43.2,17:29,14:36,16,43,-5.7,129,51.2,rossima01
751,Marco Rossi,24,VAN,C,33,372,497,42.8,-1.7,260,369,41.3,-3.8,10.6,83.6,94.2,54.9,45.1,17:09,14:20,11,30,-5.8,74,52.7,rossima01
751,Marco Rossi,24,MIN,C,17,272,226,54.6,8.5,198,177,52.8,6.1,9.4,85.0,94.4,60.9,39.1,18:06,15:07,5,13,0.1,55,49.1,rossima01
752,Joshua Roy,22,MTL,RW,3,27,21,56.3,10.1,17,15,53.1,5.0,6.7,92.3,99.0,35.7,64.3,9:47,9:40,0,3,0.4,6,33.3,royjo01
753,Matt Roy,30,WSH,D,79,1342,1380,49.3,-0.4,978,959,50.5,-0.1,10.5,91.9,102.4,46.2,53.8,20:37,17:55,12,69,-4.7,213,44.1,royma04
754,Nicolas Roy,28,TOT,C,74,811,933,46.5,-2.1,571,669,46.0,-3.0,10.9,90.8,101.8,35.7,64.3,14:28,12:07,21,62,-4.0,161,47.2,royni01
754,Nicolas Roy,28,TOR,C,59,626,763,45.1,-0.5,443,541,45.0,-1.5,12.9,89.5,102.3,34.1,65.9,14:45,12:16,20,50,-5.2,125,44.0,royni01
754,Nicolas Roy,28,COL,C,15,185,170,52.1,-8.2,128,128,50.0,-9.0,4.7,96.5,101.2,41.7,58.3,13:18,11:29,1,12,1.2,36,58.3,royni01
755,Bryan Rust,33,PIT,RW,72,1071,1121,48.9,-1.7,796,823,49.2,-1.5,14.1,86.7,100.9,59.6,40.4,19:57,14:60,13,78,-3.7,352,52.0,rustbr01
756,Jonas Røndbjerg,26,VEG,RW,4,38,39,49.4,-0.3,29,30,49.2,0.2,10.0,77.8,87.8,57.9,42.1,12:05,11:40,1,0,0.6,12,50.0,rondbjo01
757,Brandon Saad,33,VEG,LW,49,617,586,51.3,0.2,448,412,52.1,0.3,6.3,89.7,95.9,52.9,47.1,13:23,12:27,11,30,5.2,146,53.4,saadbr01
758,Scott Sabourin,33,TBL,F,26,173,191,47.5,-6.4,134,146,47.9,-5.8,9.3,91.9,101.2,42.9,57.1,7:57,7:57,1,10,1.1,34,32.4,sabousc01
759,Elias Salomonsson,21,WPG,D,32,524,487,51.8,4.1,370,374,49.7,2.3,6.9,91.2,98.1,50.2,49.8,17:58,16:47,2,35,-0.9,111,33.3,salomel01
760,Josh Samanski,23,EDM,F,24,189,190,49.9,-1.7,131,126,51.0,-1.5,13.8,87.5,101.3,52.1,47.9,10:34,10:04,6,10,0.1,27,37.0,samanjo01
761,Dylan Samberg,27,WPG,D,66,1162,1117,51.0,1.6,859,803,51.7,3.3,8.9,90.9,99.9,45.3,54.7,21:49,19:10,27,66,3.5,208,41.8,sambedy01
762,Mackie Samoskevich,23,FLA,RW,77,1058,777,57.7,7.2,773,591,56.7,6.7,8.2,89.5,97.7,52.8,47.2,14:28,12:20,10,52,2.0,332,48.5,samosma01
763,Mattias Samuelsson,25,BUF,D,78,1432,1618,47.0,-3.1,1070,1176,47.6,-2.8,13.6,91.2,104.8,44.6,55.4,22:50,19:51,17,80,-2.1,246,44.3,samuema02
764,Jake Sanderson,23,OTT,D,67,1301,1052,55.3,4.0,948,723,56.7,4.8,11.3,88.7,100.0,50.3,49.7,24:50,18:38,31,81,12.8,374,39.3,sandeja01
765,Rasmus Sandin,25,WSH,D,73,1124,1250,47.3,-3.1,811,854,48.7,-2.8,11.7,89.9,101.6,48.3,51.7,19:12,16:58,32,89,-3.4,194,46.4,sandira01
766,Axel Sandin Pellikka,20,DET,D,68,950,940,50.3,1.2,681,689,49.7,-0.7,7.7,87.9,95.7,54.9,45.1,16:13,14:11,8,60,-3.9,211,32.2,sandiax01
767,Travis Sanheim,29,PHI,D,81,1363,1478,48.0,0.2,1007,1018,49.7,1.7,12.7,88.5,101.2,41.5,58.5,24:13,19:58,26,105,7.1,245,38.8,sanhetr01
768,Steven Santini,30,TBL,D,12,87,107,44.8,-12.0,55,81,40.4,-14.9,10.0,93.8,103.8,47.1,52.9,10:20,10:09,0,7,0.6,21,19.0,santist01
769,Max Sasson,25,VAN,F,66,649,673,49.1,1.3,464,504,47.9,0.7,9.0,88.6,97.5,53.6,46.4,11:43,11:10,12,38,-9.3,114,54.4,sassoma01
770,Matthew Savoie,22,EDM,C,82,976,964,50.3,-0.1,731,701,51.0,-0.1,10.6,89.2,99.8,60.3,39.7,14:47,12:20,32,52,4.4,241,57.3,savoima01
771,Matthew Schaefer,18,NYI,D,82,1726,1652,51.1,2.7,1265,1183,51.7,3.0,10.8,89.6,100.4,54.6,45.4,24:41,20:17,38,90,9.8,527,42.1,schaema01
772,Reid Schaefer,22,NSH,LW,47,361,478,43.0,-6.0,246,340,42.0,-6.3,5.6,90.7,96.3,39.8,60.2,9:38,9:32,5,19,-6.5,83,47.0,schaere01
773,Mark Scheifele,32,WPG,C,82,1451,1427,50.4,2.5,1088,1088,50.0,2.0,13.9,87.6,101.4,65.8,34.2,21:30,18:02,31,129,2.5,328,53.4,scheima01
774,Brayden Schenn,34,TOT,C,80,1073,1171,47.8,-1.1,762,860,47.0,-2.1,9.4,87.1,96.5,53.9,46.1,16:46,14:29,18,50,-4.0,237,50.2,schenbr01
774,Brayden Schenn,34,STL,C,61,812,901,47.4,-0.2,564,659,46.1,-2.0,8.8,88.1,96.9,51.5,48.5,16:41,14:39,15,43,-4.0,174,50.0,schenbr01
774,Brayden Schenn,34,NYI,C,19,261,270,49.2,-3.6,198,201,49.6,-1.9,11.0,82.9,93.9,62.1,37.9,17:04,13:55,3,7,0.0,63,50.8,schenbr01
775,Luke Schenn,36,TOT,D,50,492,637,43.6,-6.9,334,460,42.1,-8.6,8.9,88.3,97.2,41.8,58.2,13:40,12:02,7,44,-7.7,96,36.5,schenlu01
775,Luke Schenn,36,WPG,D,46,455,591,43.5,-6.4,307,426,41.9,-8.4,9.0,88.5,97.5,43.2,56.8,13:44,12:09,7,40,-6.6,89,36.0,schenlu01
775,Luke Schenn,36,BUF,D,4,37,46,44.6,-13.3,27,34,44.3,-11.2,6.7,87.0,93.6,26.9,73.1,12:47,10:45,0,4,-1.0,7,42.9,schenlu01
776,Nick Schmaltz,29,UTA,C,82,1284,1001,56.2,4.2,938,731,56.2,4.5,12.6,87.0,99.6,61.8,38.2,19:43,15:05,45,94,17.0,397,52.1,schmani01
777,Nate Schmidt,34,UTA,D,82,1423,1177,54.7,2.2,1019,866,54.1,1.5,12.4,90.6,103.0,51.1,48.9,19:42,17:05,14,75,13.8,232,37.1,schmina01
778,Braden Schneider,24,NYR,D,82,1238,1465,45.8,-5.1,868,1048,45.3,-4.4,10.8,90.3,101.1,41.5,58.5,20:27,17:39,22,96,-8.6,254,40.2,schnebr01
779,Jaden Schwartz,33,SEA,C,50,590,737,44.5,-1.9,416,533,43.8,-2.9,12.0,91.8,103.8,44.2,55.8,16:08,13:40,25,47,-6.6,156,52.6,schwaja01
780,Cole Schwindt,24,FLA,RW,29,209,212,49.6,-3.6,152,147,50.8,-2.2,13.8,86.9,100.7,52.3,47.7,10:02,9:01,3,8,2.6,45,55.6,schwico01
781,Donovan Sebrango,24,TOT,D,42,562,570,49.6,-2.3,414,421,49.6,-1.3,11.5,88.5,100.0,52.4,47.6,15:06,14:18,5,27,-6.9,100,33.0,sebrado01
781,Donovan Sebrango,24,FLA,D,40,540,547,49.7,-2.1,404,408,49.8,-0.8,11.7,88.3,100.1,53.0,47.0,15:06,14:15,5,26,-6.1,95,33.7,sebrado01
781,Donovan Sebrango,24,OTT,D,2,22,23,48.9,-7.2,10,13,43.5,-15.1,0.0,91.7,91.7,33.3,66.7,15:14,15:11,0,1,-0.8,5,20.0,sebrado01
782,Nick Seeler,32,PHI,D,80,1132,1186,48.8,1.3,824,808,50.5,2.5,8.4,90.3,98.7,50.5,49.5,17:41,15:40,13,58,6.8,251,37.5,seeleni01
783,Ronan Seeley,23,CAR,D,1,12,15,44.4,1.6,9,10,47.4,-0.8,16.7,87.5,104.2,66.7,33.3,15:12,14:33,0,1,-0.4,1,0.0,seelero01
784,Tyler Seguin,34,DAL,C,27,321,388,45.3,0.2,230,288,44.4,-1.7,13.2,94.3,107.5,43.1,56.9,16:40,14:18,3,21,-0.7,69,44.9,seguity01
785,Moritz Seider,24,DET,D,82,1751,1544,53.1,6.9,1301,1045,55.5,9.2,11.1,88.2,99.3,43.1,56.9,25:40,20:53,29,99,17.6,409,45.7,seidemo01
