Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
28,Linus Ullmark,31,OTT,G,44,43,25,14,3,112,1229,1117,.909,2.72,4,2467:17,27,.628,9,91,11.1,2.92,8.7,0,2,2,0,,ullmali01
29,Logan Thompson,27,WSH,G,43,42,31,6,6,105,1172,1067,.910,2.49,2,2535:09,27,.643,6,89,12.4,2.65,8.5,0,1,1,0,ASnhl-5Byng-49Vezina-4,thomplo01
30,Joseph Woll,26,TOR,G,42,41,27,14,1,111,1216,1105,.909,2.73,1,2442:20,25,.610,6,91,10.8,2.92,8.6,0,0,0,0,,wolljo01
31,Charlie Lindgren,31,WSH,G,39,38,20,14,3,104,985,881,.894,2.73,1,2287:00,17,.447,5,105,-5.4,2.91,5.5,0,0,0,0,,lindgch01
32,Alex Nedeljkovic,29,PIT,G,38,35,14,15,5,112,1054,942,.894,3.12,1,2150:51,19,.543,6,106,-6.4,3.35,5.8,1,2,3,2,,nedelal01
33,Petr Mrázek,32,2TM,G,38,38,12,21,2,116,1066,950,.891,3.35,1,2080:07,19,.500,8,109,-9.2,3.61,5.6,0,0,0,0,,mrazepe01
33,Petr Mrázek,32,CHI,G,33,33,10,19,2,106,964,858,.890,3.46,0,1839:32,16,.485,7,110,-9.5,3.72,4.9,0,0,0,0,,mrazepe01
33,Petr Mrázek,32,DET,G,5,5,2,2,0,10,102,92,.902,2.49,1,240:35,3,.600,1,98,0.2,2.74,0.6,0,0,0,0,,mrazepe01
34,Spencer Knight,23,2TM,G,38,36,17,16,3,100,1010,910,.901,2.72,2,2202:51,21,.583,7,99,1.1,2.89,6.3,0,2,2,0,,knighsp01
34,Spencer Knight,23,FLA,G,23,21,12,8,1,52,560,508,.907,2.40,2,1298:26,13,.619,3,93,4.1,2.54,3.9,0,2,2,0,,knighsp01
34,Spencer Knight,23,CHI,G,15,15,5,8,2,48,450,402,.893,3.18,0,904:25,8,.533,4,107,-2.9,3.38,2.4,0,0,0,0,,knighsp01
35,Tristan Jarry,29,PIT,G,36,35,16,12,6,105,970,865,.892,3.12,2,2019:54,17,.486,9,108,-7.9,3.33,5.1,0,1,1,2,,jarrytr01
36,Calvin Pickard,32,EDM,G,36,31,22,10,1,85,849,764,.900,2.71,0,1881:43,21,.677,5,100,0.0,2.90,5.2,0,1,1,0,,pickaca01
37,Arvid Söderblom,25,CHI,G,36,33,10,18,7,111,1087,976,.898,3.18,0,2096:30,16,.485,6,102,-2.1,3.41,6.4,0,0,0,0,,soderar01
38,David Rittich,32,LAK,G,34,31,16,14,2,88,771,683,.886,2.84,0,1860:28,17,.548,9,114,-10.8,3.03,3.6,0,0,0,2,,rittida01
39,Anthony Stolarz,31,TOR,G,34,33,21,8,3,71,955,884,.926,2.14,4,1986:54,24,.727,3,74,24.6,2.30,8.4,0,1,1,0,Vezina-5,stolaan01
40,Justus Annunen,24,2TM,G,34,29,15,15,1,95,814,719,.883,3.18,0,1789:49,13,.448,5,117,-13.5,3.42,3.6,0,0,0,0,,annunju01
40,Justus Annunen,24,COL,G,11,9,6,4,0,28,218,190,.872,3.23,0,520:50,4,.444,2,128,-6.2,3.46,0.7,0,0,0,0,,annunju01
40,Justus Annunen,24,NSH,G,23,20,9,11,1,67,596,529,.888,3.17,0,1268:59,9,.450,3,112,-7.3,3.40,2.9,0,0,0,0,,annunju01
41,Jake Allen,34,NJD,G,31,29,13,16,1,77,819,742,.906,2.66,4,1738:10,15,.517,6,94,5.0,2.83,5.5,0,0,0,0,,allenja01
42,Joel Hofer,24,STL,G,31,28,16,8,3,74,767,693,.904,2.64,1,1678:49,18,.643,3,96,2.8,2.82,5.0,0,1,1,2,,hoferjo01
43,Anton Forsberg,32,OTT,G,30,27,11,12,3,76,768,692,.901,2.72,3,1676:32,12,.444,6,99,0.9,2.90,4.8,0,0,0,0,,forsban01
44,Alex Lyon,32,DET,G,30,26,14,9,1,73,704,631,.896,2.81,1,1559:38,13,.500,8,104,-2.5,3.00,4.0,0,0,0,2,,lyonal01
45,Daniel Vladař,27,CGY,G,30,29,12,11,6,83,810,727,.898,2.80,2,1781:02,17,.586,5,102,-1.9,3.00,4.8,0,1,1,2,,vladada01
46,John Gibson,31,ANA,G,29,28,11,11,2,72,811,739,.911,2.77,0,1562:09,19,.679,3,89,9.2,2.96,5.9,0,1,1,4,,gibsojo02
47,Ilya Samsonov,27,VEG,G,29,29,16,9,4,82,752,670,.891,2.82,2,1745:22,14,.483,8,109,-6.7,3.03,3.9,0,1,1,4,,samsoil01
48,Casey DeSmith,33,DAL,G,27,24,14,8,2,65,761,696,.915,2.59,2,1504:30,13,.542,3,85,11.2,2.75,5.8,0,1,1,2,,desmica01
49,Joonas Korpisalo,30,BOS,G,27,24,11,10,3,74,693,619,.893,2.90,3,1529:42,12,.500,5,107,-4.6,3.10,3.8,0,0,0,0,,korpijo01
50,Ivan Fedotov,28,PHI,G,26,24,6,13,4,75,624,549,.880,3.15,0,1429:01,8,.333,10,120,-12.5,3.36,2.5,0,0,0,0,,fedotiv01
51,Marc-André Fleury,40,MIN,G,26,22,14,9,1,68,670,602,.899,2.93,1,1390:16,14,.636,4,101,-0.9,3.15,4.0,0,0,0,2,Byng-7,fleurma01
52,Philipp Grubauer,33,SEA,G,26,26,8,17,1,85,681,596,.875,3.49,0,1460:29,10,.385,8,125,-16.8,3.74,2.4,0,0,0,0,,grubaph01
53,Vítek Vaněček,29,2TM,G,25,24,5,14,4,84,724,640,.884,3.62,1,1393:38,11,.458,7,116,-11.5,3.83,3.2,0,1,1,0,,vanecvi01
53,Vítek Vaněček,29,SJS,G,18,17,3,10,3,63,533,470,.882,3.88,0,972:59,7,.412,5,118,-9.6,4.13,2.3,0,1,1,0,,vanecvi01
53,Vítek Vaněček,29,FLA,G,7,7,2,4,1,21,191,170,.890,3.00,1,420:39,4,.571,2,110,-1.9,3.14,1.0,0,0,0,0,,vanecvi01
54,Jonathan Quick,39,NYR,G,24,20,11,7,2,70,657,587,.893,3.17,3,1325:41,9,.450,5,106,-4.2,3.39,3.6,0,1,1,2,,quickjo01
55,James Reimer,36,2TM,G,24,21,10,10,2,69,663,594,.896,3.04,1,1362:50,14,.667,6,104,-2.6,3.26,3.8,0,0,0,0,,reimeja01
55,James Reimer,36,ANA,G,2,2,0,2,0,9,66,57,.864,4.50,0,120:00,1,.500,1,136,-2.4,5.00,0.2,0,0,0,0,,reimeja01
55,James Reimer,36,BUF,G,22,19,10,8,2,60,597,537,.899,2.90,1,1242:50,13,.684,5,100,-0.2,3.09,3.6,0,0,0,0,,reimeja01
56,Scott Wedgewood,32,2TM,G,24,22,14,6,2,53,578,525,.908,2.32,2,1373:05,12,.545,3,92,4.9,2.45,4.0,0,0,0,0,,wedgesc01
56,Scott Wedgewood,32,NSH,G,5,4,1,2,1,16,131,115,.878,3.69,0,260:01,1,.250,2,122,-2.9,3.92,0.5,0,0,0,0,,wedgesc01
56,Scott Wedgewood,32,COL,G,19,18,13,4,1,37,447,410,.917,1.99,2,1113:04,11,.611,1,83,7.8,2.10,3.5,0,0,0,0,,wedgesc01
57,Thatcher Demko,29,VAN,G,23,23,10,8,3,63,569,506,.889,2.90,1,1301:58,10,.435,7,111,-6.0,3.09,2.8,0,0,0,0,,demkoth01
58,Frederik Andersen,35,CAR,G,22,22,13,8,1,55,546,491,.899,2.50,1,1319:31,14,.636,6,101,-0.3,2.68,3.3,0,1,1,0,,anderfr01
59,Connor Ingram,27,UTA,G,22,22,9,8,4,66,558,492,.882,3.27,0,1210:07,8,.364,4,118,-10.1,3.52,2.4,0,2,2,4,,ingraco01
60,Eric Comrie,29,WPG,G,20,20,9,10,1,47,547,500,.914,2.39,2,1179:33,14,.700,1,86,7.8,2.54,4.2,0,0,0,0,,comrier01
61,Daniil Tarasov,25,CBJ,G,20,19,7,10,2,65,544,479,.881,3.54,1,1100:25,7,.368,5,119,-10.5,3.82,2.2,0,1,1,0,,tarasda02
62,Jonas Johansson,29,TBL,G,19,18,9,6,3,58,554,496,.895,3.13,1,1110:15,7,.389,5,105,-2.5,3.35,3.1,0,0,0,0,,johanjo03
63,Aleksei Kolosov,23,PHI,G,17,13,5,9,1,54,406,352,.867,3.59,0,901:55,4,.308,5,133,-13.3,3.86,1.1,0,0,0,0,,kolosal01
64,Jakub Dobes,23,MTL,G,16,15,7,4,3,40,440,400,.909,2.74,1,874:47,8,.533,2,91,4.1,2.95,3.1,0,0,0,0,,dobesja01
65,Joel Blomqvist,23,PIT,G,15,12,4,9,1,49,425,376,.885,3.81,0,772:27,5,.417,4,115,-6.4,4.04,1.9,0,0,0,0,,blomqjo01
66,Marcus Högberg,30,NYI,G,15,11,2,6,3,41,335,294,.878,3.38,0,728:13,5,.455,3,122,-7.5,3.63,1.3,0,0,0,0,,hogbema01
67,Yaroslav Askarov,22,SJS,G,13,12,4,6,2,37,357,320,.896,3.10,0,716:48,7,.583,3,103,-1.2,3.35,2.1,0,1,1,0,,askarya01
68,Ville Husso,29,2TM,G,13,11,2,6,3,37,336,299,.890,3.47,0,639:46,7,.636,3,110,-3.4,3.75,1.7,0,0,0,0,,hussovi01
68,Ville Husso,29,DET,G,9,8,1,5,2,27,202,175,.866,3.69,0,438:49,4,.500,3,133,-6.8,3.97,0.5,0,0,0,0,,hussovi01
68,Ville Husso,29,ANA,G,4,3,1,1,1,10,134,124,.925,2.99,0,200:57,3,1.000,0,75,3.4,3.28,1.2,0,0,0,0,,hussovi01
69,Leevi Merilainen,22,OTT,G,12,11,8,3,1,22,295,273,.925,1.99,3,662:59,7,.636,3,74,7.5,2.08,2.6,0,0,0,0,,merille01
70,Jet Greaves,23,CBJ,G,11,11,7,2,2,21,339,318,.938,1.91,2,660:06,8,.727,0,62,12.9,2.00,3.4,0,0,0,0,,greavje01
71,Cayden Primeau,25,MTL,G,11,7,2,3,1,41,250,209,.836,4.70,0,523:42,1,.143,4,164,-16.0,5.04,-0.1,0,0,0,2,,primeca01
