Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
33,Petr Mrázek,25,2TM,G,39,33,14,13,6,106,1080,974,.902,3.03,4,2096:42,11,.333,8,112,-11.2,3.29,4.8,0,0,0,0,,mrazepe01
33,Petr Mrázek,25,DET,G,22,18,8,7,3,57,630,573,.910,2.89,3,1183:31,7,.389,4,103,-1.7,3.14,3.3,0,0,0,0,,mrazepe01
33,Petr Mrázek,25,PHI,G,17,15,6,6,3,49,450,401,.891,3.22,1,913:11,4,.267,4,124,-9.5,3.48,1.5,0,0,0,0,,mrazepe01
34,Jonathan Bernier,29,COL,G,37,34,19,13,3,95,1092,997,.913,2.85,2,2001:23,18,.529,5,99,0.8,3.09,6.2,0,1,1,0,,bernijo01
35,Kari Lehtonen,34,DAL,G,37,30,15,14,3,83,946,863,.912,2.56,1,1944:18,19,.633,7,100,0.0,2.75,5.3,0,0,0,4,,lehtoka01
36,Chad Johnson,31,BUF,G,36,29,10,16,3,105,962,857,.891,3.55,0,1773:32,12,.414,6,124,-20.6,3.86,3.1,0,0,0,0,,johnsch02
37,Anton Forsberg,25,CHI,G,35,30,10,16,4,85,921,836,.908,2.97,0,1714:47,14,.467,7,105,-4.2,3.22,4.7,0,1,1,0,,forsban01
38,Philipp Grubauer,26,WSH,G,35,28,15,10,3,73,953,880,.923,2.35,3,1864:48,19,.679,3,87,10.6,2.54,6.5,0,1,1,0,,grubaph01
39,Roberto Luongo,38,FLA,G,35,33,18,11,2,81,1143,1062,.929,2.47,3,1965:58,22,.667,3,81,19.3,2.66,8.5,0,2,2,0,ASnhl-10Byng-42Vezina-9,luongro01
40,Carter Hutton,32,STL,G,32,26,17,7,3,56,810,754,.931,2.09,3,1609:32,19,.731,2,79,15.1,2.24,6.2,0,0,0,2,,huttoca01
41,Mike Condon,27,OTT,G,31,26,5,17,5,88,898,810,.902,3.25,0,1626:25,13,.500,6,112,-9.2,3.50,4.0,0,2,2,0,,condomi01
42,Anton Khudobin,31,BOS,G,31,29,16,6,7,76,876,800,.913,2.56,1,1780:43,16,.552,4,99,0.9,2.76,5.0,0,2,2,2,,khudoan01
43,Aaron Dell,28,SJS,G,29,22,15,5,4,67,775,708,.914,2.64,2,1522:05,11,.500,4,98,1.0,2.84,4.4,0,1,1,0,,dellaa01
44,Darcy Kuemper,27,2TM,G,29,25,12,7,5,67,833,766,.920,2.52,4,1595:53,12,.480,3,92,6.1,2.74,5.3,0,1,1,0,,kuempda01
44,Darcy Kuemper,27,LAK,G,19,15,10,1,3,35,516,481,.932,2.10,3,999:13,9,.600,1,77,10.3,2.28,4.0,0,1,1,0,,kuempda01
44,Darcy Kuemper,27,ARI,G,10,10,2,6,2,32,317,285,.899,3.22,1,596:40,3,.300,2,115,-4.2,3.52,1.3,0,0,0,0,,kuempda01
